type	index	image	question	background_story	A	B	C	D	answer
hg	21	data/figure/hg/2023-10-20--中国银行-宏观观察2023年第44期（总第499期）：《财富》世界500强企业经营新动态、影响及建议＊_page2_图120212022年世界500强企业利润主要行业分布情况.jpg	根据直方图，哪个行业在2022年的利润最高？	"8月5日，《财富》杂志揭晓了2024年世界500强排行榜。中国在此次榜单中表现出强劲实力，共有133家公司上榜，其中银行类企业占据了9席。这些上榜的银行机构包括5家国有大型银行和4家股份制银行，具体为工商银行、建设银行、农业银行、中国银行、交通银行以及招商银行、兴业银行、浦发银行和民生银行。

在国有大行方面，工商银行以总排名第22位的优异成绩稳坐中国银行业榜首，且相比去年上升了6个名次；建设银行紧随其后，排名第30位，虽较去年下降1名，但实力依旧不容小觑；农业银行和中国银行则分别位列第34位和第37位，与去年相比，中国银行上升了12个名次，表现尤为抢眼。此外，交通银行也以第154位的排名崭露头角，较去年上升了7名。

股份制银行方面，招商银行、兴业银行、浦发银行和民生银行也成功跻身2024年《财富》世界500强排行榜，其排名分别为第179位、第232位、第292位和第351位。值得注意的是，与2023年的榜单相比，多数股份制银行的排名均有所下滑，其中浦发银行下降幅度最大，达到32个名次，民生银行和兴业银行也分别下降了22名和9名。不过，招商银行则保持了去年的排名。

从营业收入来看，这9家银行的总收入高达09万亿美元，比去年增加了137亿美元。具体而言，工商银行、建设银行、农业银行和中国银行分别以2284亿美元、1926亿美元、1998亿美元和1728亿美元的营业收入，在中国500强企业中稳居前十。"	银行：商业储蓄	炼油行业	采矿、原油生产行业	互联网服务和零售	A
hg	22	data/figure/hg/2022-11-24--信达证券-信达宏观方法论之十一：CPI的深度拆解与预测逻辑_page19_图20中国印度为首的新兴国家构成原油增量需求.jpg	2018年原油消费增量最高的国家是？	从供需角度来看，本轮炼化下行周期主要从“十三五”末期至今，“十三五”期间炼化行业盈利走强，民营炼化崛起，供给侧资本开支增加，进入“十四五”后国内炼能增速相对放缓，2021 年由于疫情受控和复工复产推进，供需格局阶段性改善；但2022 年需求端受疫情扰动明显，同时地产、居民消费均走弱，供需格局边际趋宽；2023年国内疫情防控措施优化后，石化产品需求明显提升，供需格局有所改善，但增量主要来自成品油，化工品受地产投资偏弱影响，需求端提升有限。亚太地区和国内炼厂的盈利规律主要影响因素来自炼化产品的边际供需差，在边际供需趋紧时，行业盈利或将上行，反之则下行。展望未来炼能供需格局演变。从供给端看，未来或将仍处于落后炼能出清与增量炼能上马的并行阶段，行业产能结构或进一步优化，龙头市占率有望持续提升；该行对落后炼能淘汰节奏分情景假设，在不同情景下，该行预计国内炼化产能或均将于2026 年达到峰值，预计达峰时产能约9.9-10 亿吨。从需求端看，由于新能源车销售渗透率或是主要变量，影响石油需求达峰时间及达峰前的需求增量空间，对此该行假设了不同新能源车销售渗透率演变，预测国内石油需求的变化趋势。	中国	印度	伊朗	美国	D
hg	23	data/figure/hg/2023-12-22--一德期货-2024年宏观经济年报：温和改善再平衡，欲流远先浚泉源_page4_图21我国对主要贸易伙伴出口占比变化.jpg	哪一年欧盟的出口占比最低？	5月，我国进出口总值同比（按美元计）增长-3.4%，较上月回落3.8个百分点；其中，出口同比增长1.1%，预期-3.9%，前值-2.7%；进口同比增长-8.5%，预期-3.5%，前值4%，显示进口的超预期下滑是5月进出口总值增速回落的主要拖累。5月贸易顺差扩大278.9亿美元至416.6亿美元，高于预期。从主要贸易伙伴国来看，5月，中国对美国、欧盟、日本、东盟进出口金额当月同比分别增长-10.32%、4.32%、-8.87%、3.46%，全线回落；而其中出口当月同比-4.16%、6.08%、0.47%、3.54%，均有所回升，对美、日出口回升幅度尤为明显。5月，进、出口增速呈现明显分化，出口增速在贸易环境恶化背景下超预期回升，而进口增速则承压下行。在5月PMI新出口订单指数环比回落的情况下，出口增速不降反升，或表明虽然5月10日美国开始对我国2000亿商品加征征税对出口有抑制作用，但同时宣称对其他3000亿美元商品考虑加征税，这使得企业对其存在抢出口现象，综合来看，抢出口的影响更大从而推动5月出口增速的回升。据悉，美国贸易代表将在6月17日举行听证会，商讨最终加征征税清单和具体实施日期，最快将在7月份正式实施，这新一轮加征征税到来前，6月出口增速或仍会受到出口集中提前的支撑但幅度不大。	2017	2018	2019	2023-10	D
hg	24	data/figure/hg/2024-02-05--国金证券-大类资产月报第9期：2月展望，行至水穷处？_page15_图表46本月发达国家10年期国债收益率全线上涨.jpg	哪个国家的国债收益率最低？	"截至12月12日，10年期国债收益率已下跌至1.809%。Wind数据显示，近一月，10年期国债收益率先后跌破2.0%、1.9%、1.85%等关口，整体降幅近30基点。
光大证券在最新研报中分析指出，导致收益率下行的因素较多。“例如，利率自律机制《关于优化非银同业存款利率自律管理的自律倡议》提升了投资机构配置CD（大额可转让定期存单）的需求、压低了CD利率，也给收益率曲线长端的下行提供了空间。再如，银行贷款所形成的利息收入是随时间而积累的，现阶段新发放贷款所积累的利息对于今年利润的增厚作用较为有限，而此时债券市场又存在赚钱效应，因此不免有个别银行激进地通过利率债市场博取利润。”
济安金信基金评价中心副主任张碧璇进一步分析，近期的中共中央政治局会议传递稳增长信号，强调“实施更加积极的财政政策和适度宽松的货币政策”“加强超常规逆周期调节”等，且政府债供给高峰已过，季节性配置旺季来临，债市表现较为强势。"	美国	日本	法国	意大利	A
hg	25	data/figure/hg/2024-05-08--国金证券-大类资产月报第12期：5月展望：“拐点”已现？_page13_图表37本月新兴市场股指走势分化.jpg	哪只指数在5月表现最好？	国金证券研报指出，新兴市场光伏发电渗透率较低、光伏需求空间广阔。组件成本快速下降提升光伏发电经济性，叠加多国能源转型、缺电等因素影响，中东、中南亚、非洲、拉丁美洲等新兴市场需求有望在低基数下实现高速增长，带动光伏装机需求持续增长。建议关注三条主线：1）主产业链及组件相关辅材：需求多元化背景下，在国际化运营能力、渠道覆盖度及拓展能力、海外产能布局、品牌等方面具有优势的企业有望实现出货较快增长、维持盈利相对优势。2）支架：中东、拉美市场需求快速增长带动支架需求放量，当地渠道及产能布局领先的企业有望充分受益。3）逆变器及储能：新兴市场光伏需求高增有望带动逆变器需求增长，同时储能成本快速下降后印度、智利、南非、巴西、沙特先后释放储能规划及招标规模，新兴市场储能有望实现“0—1”爆发式增长，推荐在新兴市场具备品牌优势、份额领先的逆变器企业。建议关注：阳光电源、德业股份、振江股份等。	南非实时指数	泰国SET指数	巴西IBOVESPA指数	韩国综合指数	A
hg	26	data/figure/hg/2022-12-12--中国银河-2023年全球宏观经济展望_page3_2023年美国CPI增速预测.jpg	根据直方图，美国CPI在2022年6月达到峰值，峰值是多少？	"CPI非季调同比增速从10月的2.6%回升至2.7%，符合市场预期；剔除能源和食品的核心CPI同比3.3%，继续与前值持平并符合预期。季调环比方面，CPI增速加快至0.3%，核心CPI环比维持0.3%，同样基本符合市场预期。CPI同比增速在四季度如期延续回升，预计12月可能上行至2.8%左右的阶段性高点；如果特朗普的关税和刺激总需求的其他政策短期不出台，通胀应在2025年一季度从高点逐步回落。美联储12月继续降息25BP也不受影响，但此后应会放缓降息节奏以观察政策和经济变化。
食品和商品价格环比回升带动CPI环比加速至0.3%，居住成本和核心服务整体缓和11月主要项目中，食品和核心商品环比增速表现稍强，服务在居住成本的弱化下如期放缓。食品价格同比稍加速至2.4%左右，对通胀整体压力依然有限，其中鸡蛋和牛肉类涨价较明显。
能源商品11月同比降幅收窄，虽然未季调环比跟随原油价格降低，但季调后环比增0.5%；未来能源供大于求的局面可能延续，能源价格亦不是显著担忧。核心商品的通缩幅度收窄，季调环比增长0.3%，主要源于新车和二手车价格的恢复。
居住成本则继续弱化，季调环比增速从10月的0.4%回落至0.3%，租金和业主等价租金环比均放缓至0.2%(未季调为0.3%)，仍然反映居住成本虽然滞后但在稳定延续下行。核心服务的环比增速继续缓和，运输以及教育和通信服务环比放缓明显。
整体来看，核心CPI短期继续保持韧性，其3、6、12个月年化增速为3.7%、2.9%和3.3%，如果其维持近期0.3%的环比增速则有回升至3.7%的风险，但预计随着居住成本的缓和，2025年核心通胀均值可能降低至2.6%左右。作为2024年公布的最后一份CPI数据，11月通胀没有显示明显的价格回升压力，在不考虑特朗普政策额外冲击的情况下，2025年的名义CPI均值仍可以向2.4%靠近，给美联储留出充足的降息空间；预计美联储更可能在季度末进行降息，连续降息继续的难度较大。"	8.50	9.10	8.30	7.90	B
hg	27	data/figure/hg/2022-12-30--腾景数研-腾景宏观年报：2022年经济运行分析和2023年经济形势展望：中流击水，直挂云帆——腾景AI经济预测2022年报_page6_图6工业行业动能.jpg	根据直方图，哪个行业的动能值最高？	"腾景科技今日（1月16日）晚间发布公告，预计2024年年度实现归母净利润6300万元-7500万元，同比增长51.24%-80.05%；预计实现扣非净利润6000万元-7200万元，同比增长64.75%-97.7%。由此计算，腾景科技2024年第四季度预计实现归母净利润752万元-1952万元，预计实现扣非净利润670万元-1870万元。腾景科技是国内重要的精密光学元组件提供商，产品主要应用于光通信、光纤激光等领域。在光通信领域，该公司与全球主要光模块厂商建立了合作关系。
对于业绩增长的原因，腾景科技在公告中表示，报告期内，该公司把握AI算力驱动下高速光通信元器件需求增长的市场机遇，丰富在高速光通信方面的产品解决方案，持续扩大光通信领域的精密光学元组件产品供应，满足行业柔性化交付需求，推动光通信业务规模进一步扩大。
“与此同时，公司在生物医疗、半导体设备等新兴应用领域的高端光学模组产品业务取得显著增长。”腾景科技方面表示。
《科创板日报》记者注意到，腾景科技2024年半年报数据显示，精密光学元组件为其第一大主营业务产品，该报告期实现营收1.69亿元，占当期总营收比例80.03%。
近年来，腾景科技逐步拓展精密光学元组件的新兴应用领域，除生物医疗、半导体设备领域外，也在近期发布的投资者调研纪要中披露了不少其他新兴应用领域的业务情况。
腾景科技于今年1月10日在投资者互动平台表示，“整体来看，在AI算力需求快速增长的推动下，公司所处的行业预计在2025年将继续保持良好的发展态势。”
其中，该公司AR近眼显示光机模组和纳米压印衍射波导片初步完成产品开发并持续迭代。其已与部分AR眼镜整机厂商建立了合作关系，已有少量精密光学元组件产品应用于AR眼镜光学系统中。
该公司产品在国内量子信息科研领域也有少量应用，主要为科研项目提供精密光学元组件产品。"	电力、热力生产和供应业	化学原料及化学制品制造业	汽车制造业	计算机、通信和其他电子设备制造业	A
hg	28	data/figure/hg/2023-05-19--中银证券-1-4月财政数据点评：企业弱盈利已在财政收入端有所体现_page4_图表12政府性基金预算支出当月规模.jpg	全国政府性基金支出在2021年11月的峰值是多少？	"9月公共财政收入实现15283.0亿元，同比增长2.5%，增速较上月转正，改善5.3个百分点；其中，当月税收收入实现10656.0亿元，同比下降5.0%，降幅较上月收窄0.1个百分点；非税收入规模为4627.0亿元，同比增长25.2%，增速较上月明显改善16.3个百分点。
9月权重税种中，国内增值税对当月税收收入同比增速的贡献仍为负，同比下降12.2%，降幅较上月明显走扩10.5个百分点，拖累当月税收同比增速5.6个百分点；国内消费税收入同比增速仍为负，实现-16.3%，拖累当月税收同比增速2.4个百分点；此外，9月进口环节增值及消费税同比下降4.5%，增速较上月转负，下滑6.8个百分点，拖累当月税收同比增速0.7个百分点。9月国内消费端税收收入整体低迷，但消费环境正在温和改善；在消费品“以旧换新”政策的提振下，9月社会消费品零售总额同比增速实现3.2%，较8月回升1.1个百分点。
9月全国一般公共预算支出实现27881.0亿元，同比增长5.2%，增速转正，明显改善11.9个百分点；其中，地方公共财政支出实现23579.0亿元，同比增长5.3%，增速较上月明显改善14.5个百分点。
支出结构方面， 9月公共财政向基建领域支出占比实现21.2%，较上月增加1.3个百分点，财政支出结构维持向 “稳增长”领域倾斜，其中，9月公共财政预算向农林水事务和城乡社区事务领域的支出同比增速分别实现12.5%和3.8%，较上月分别改善25.2和2.6个百分点。此外，9月教育、社保就业领域支出增速均有改善，当月同比增速分别实现4.8% 和12.4%，较上月分别改善9.1和17.4个百分点。"	20000.00亿元	25000.00亿元	15000.00亿元	10000.00亿元	B
hg	29	data/figure/hg/2024-04-18--太平洋-3月金融数据点评：信贷投放均衡化，融资需求释放有限_page7_3月单月金融机构新增人民币贷款.jpg	企业中长期贷款中，哪一年的数值最高？	"2024年12月份社会融资规模增量为2.86万亿元，比去年同期多0.92万亿元。对12月社融增量进行细分，对实体经济发放的人民币贷款增加约8400亿元（与下文中的贷款口径不同），政府债券净融资增加1.76万亿元，未贴现的银行承兑汇票减少1331亿元。
可以看到，社融增量依然主要来自于政府债券发行，其次是贷款；与往年相比，政府债券净融资明显增长，对实体经济发放的贷款增量则有所下降，往后社融的增长可能主要依靠政府债券发行了。"	2020年3月	2021年3月	2022年3月	2023年3月	D
hg	30	data/figure/hg/2023-12-20--粤开证券-【粤开宏观】负重前行：2023年财政债务形势总结与2024年展望_page12_图表102023年110月各省一般公共预算收入两年平均增速.jpg	哪个省份的一般公共预算收入累计两年平均增速最低？	"第一，中央加杠杆趋势显现，国债净融资额大幅增长。截至12月18日，2023年国债净融资额达到4.1万亿元，较去年增长58.2%，主因年初预算的全国财政赤字比上年增加5100亿元，全部由中央政府承担，同时10月24日全国人大常委会决定增发1万亿元国债。
第二，地方债发行规模较去年大幅上升，主要源于特殊再融资债券放量发行，支持化解隐性债务风险。截至12月18日，2023年全国发行地方政府债券9.3万亿元，较去年全年增长26.6%。其中，新增债券发行4.6万亿元，较去年全年减少1115.4亿元。再融资债券发行4.7万亿元，较去年全年增加2.1万亿元，再融资债券发行占比上升至50.2%，较去年提高14.8个百分点。一方面，与“一揽子化债方案”下特殊再融资债券放量发行有关；另一方面反映了地方债券到期压力加剧，2023年地方债到期规模达到3.7万亿元，较去年增长31.9%。
第三，万亿特殊再融资债券超预期发行，地方债务结存限额被大幅压缩。7月24日政治局会议提出“一揽子化债方案”后，特殊再融资债券超预期发行，截至12月18日，全国共有27个省份累计发行特殊再融资债券13885.1亿元。从地区分布来看，贵州、天津、云南、湖南、内蒙古、辽宁等债务负担较重的省份成为本轮特殊再融资债券的发行主力，发行规模均超过1000亿元，分别为2263.8亿元、1286.3亿元、1256亿元、1122亿元、1067亿元和1006亿元。特殊再融资债券的发行使得地方债务结存限额大幅减少，截至12月18日，根据净融资情况推算，地方债务余额为40.7万亿元，距离42.2万亿元的限额，结存限额被压缩至1.4万亿元，较2022年末减少44.1%。其中一般债务结存限额预计为6860.1亿元，专项债务结存限额预计为7589.4亿元。
第四，分省份来看，粤鲁浙川四省新增地方债发行规模居前，合计约占全国的四分之一。广东、山东、浙江和四川四省新增地方债发行规模居前，分别为4874.7亿元、3747.7亿元、2940.0亿元和2565.4亿元，合计发行规模达到14127.8亿元，占全国的24.9%。
第五，地方债尤其是专项债的剩余平均期限明显拉长，今年新增专项债中近七成为超长期债券。截至2023年10月底，地方债剩余平均年限为9.2年，较2019年初拉长4.8年，主要源于超长期专项债的发行。截至12月18日，2023年新增专项债以20年期、30年期和15年期为主，发行规模占比分别为25.8%、23.3%和20.7%，超长期债券合计占比达到69.8%。
第六，从资金投向来看，新增专项债重点投向产业园区、棚户区改造和医疗卫生三大方向，占比分别达到30.3%、8.9%和7.3%。与去年全年相比，棚户区改造项目占比下降2.8个百分点，铁路项目占比提升0.6个百分点。
第七，从地方债到期分布来看，2020-2030年地方债到期压力均大，到期规模均超过2万亿元，其中2023年、2026年、2028年和2030年地方债到期压力较大，到期规模均突破3万亿元。"	吉林	广西	天津	海南	A
pg	31	data/figure/pg/2023-12-05--汽车零部件-新坐标-精密冷锻件龙头，布局全产业链发展_page6_图5公司2023H1营业收入结构分行业.jpg	如果将市场份额低于10%的业务合并为一个类别，其市场份额总和为多少？	"主营产品包括气门传动组精密零部件、气门组精密零部件、其他精密零部件（包括变速器零部件、汽车底盘零部件）和冷锻精制线材加工，客户涵盖国内一汽-大众、比亚迪、吉利、潍柴动力、中国重汽、长安汽车等诸多汽车、摩托车优质品牌厂商和德国大众、墨西哥大众、北美通用等一些海外客户。
同时，公司正在积极开拓精密零部件在车身稳定系统、精密电磁阀、空调热管理系统及航空航天等领域的运用，目前已成功供货长安福特的变速器零部件、比亚迪的车身稳定系统零部件，为公司打开了新的成长空间。2011-2022公司营收从0.6亿元增至5.3亿元，CAGR 21.9%，整体保持较快增长，其中，2018年受汽车行业产销同比下滑的影响，营收增速放缓。2011-2022年净利润从0.3亿元增至1.7亿元，CAGR 17.1%，基本与营收保持同步增速。受益于公司良好的成本管理、产品矩阵以及优质的客户结构，23Q1-Q3公司营收4.2亿元，同比+19.3%，净利润1.4亿元，同比+13.6%，前三季度实现收入利润双增长。"	17.2%	14.5%	16.3%	18.0%	A
pg	32	data/figure/pg/2022-10-24--电子化学品-鼎龙股份-以七大技术平台为依托，转型进口替代类材料平台型公司_page10_图表16晶圆制造材料市场结构.jpg	如果光刻胶与光刻胶配套试剂的市场占有率合并，将达到多少？	"半导体材料位于半导体产业的上游，主要包括晶圆制造材料和封装材料，其中晶圆制造材料占比约为62.8%。根据SEMI数据，2021年，受到全球半导体产品需求回升的影响，全球半导体材料市场的规模达到643亿美元。未来，随着半导体芯片工艺升级、芯片尺寸持续小型化，以及全球硅材料、化合物半导体材料的品种和性能不断迭代升级的影响下，晶圆制造材料占比有望继续提升。晶圆制造材料市场规模方面，据统计，2021年全球晶圆制造材料行业市场规模达到404亿美元，同比增长15.76%。预计2022年全球晶圆制造材料行业市场规模达到450亿元。硅材料在晶圆制造材料中占比最多，就国内硅材料市场而言，根据SEMI数据，中国硅材料市场规模已经从2015年的101.6亿元增长至2021年的250.5亿元，年复合增长率达到16.2%，约占全球产能的17%。但中国目前硅片市场90%的市场份额由日本信越化学、SUMCO、德国Siltronic、中国台湾环球晶圆等国际巨头占据，国产化水平较低，国产替代空间十分广阔。

"	45.9%	39.9%	40.9%	44.9%	A
pg	33	data/figure/pg/2023-07-07--贵金属-紫金矿业-资源布局加速，矿业龙头稳固_page21_no_caption.jpg	根据图中的数据，中国在贵金属-紫金矿业的资源布局中所占的比例是多少？	"公司矿业项目经验丰富，海内外布局加速。公司为全球范围内从事铜、金、锌、锂等金属矿产资源勘查、开发及工程设计、技术应用研究的大型跨国矿业集团。目前，公司在中国 15 个省（区）和海外 13 个国家拥有重要矿业投资项目，包括境内的西藏巨龙铜矿、黑龙江多宝山铜矿、福建紫金山铜金矿等，境外的塞尔维亚丘卡卢-佩吉铜金矿、塞尔维亚博尔铜矿、刚果（金）卡莫阿铜矿、刚果（金）科卢韦齐铜矿、哥伦比亚武里蒂卡金矿等。
2021 年公司营业收入达 2251 亿元，同比增长 31%，主要由于 2021 年铜价增幅较大；2022 年前三季度，公司营业收入达 2042亿元，同比增长 21%。2021 年，公司毛利率为 15.4%，同比增长 3.53pct；2022 年前三季度，公司毛利率 15.6%，相较同业毛利率水平较高。
2021 年公司归母净利润为 157 亿元，同比增长 141%，主要由于 2021 年铜价大幅上涨；2022 年前三季度，公司归母净利润为 167 亿元，同比增长 47%，同比增速下滑，主要受历史基数、2022 年铜均价小幅下滑等因素影响。2021 年，公司销售净利率为 8.7%，2022 年前三季度，公司销售净利率为10.1%，相较同业处于较高水平。
"	37.9%	11.8%	10.2%	7.0%	A
pg	34	data/figure/pg/2022-12-05--化纤行业-东方盛虹-炼化铸基石，新材料促腾飞_page19_图26全球EVA产能分布.jpg	全球EVA产能分布中，中国大陆的占比是多少？	"随着全球对可再生能源和环保政策的重视，光伏产业得到了快速发展，作为光伏产业链中的重要原材料，EVA也迎来了新的发展机遇。在“双碳”政策的推动下，光伏产业发展迎来了新的增长期，进而推动了EVA产能的扩张。2021年全球新增EVA产能达到了110万吨/年，其中中国和韩国是主要的产能增长来源，分别新增了80万吨/年和30万吨/年的产能。预计未来几年，全球EVA产能将继续保持增长态势。根据预测，2022-2024年期间，全球新增EVA产能预计将达到108万吨/年，主要集中在中国。这意味着在未来几年内，中国将成为全球EVA产能增长的主要推动力，其产能年均增速有望达到5.3%。

从需求角度来看，东北亚地区的制鞋业、包装和光伏产业发展是推动全球EVA消费增长的主要动力。2019年全球EVA的消费量约为420万吨，其中东北亚地区是最大的消费地区，占比高达50%。这主要得益于该地区制鞋业和包装业的快速发展，以及对可再生能源的旺盛需求。此外，西欧和北美地区也是EVA的重要消费地区，分别占比14%和11%。相比之下，东南亚地区的EVA消费占比仅为7%，而其他地区的消费较少，占比均在5%以下。"	27%	18%	9%	5%	A
pg	35	data/figure/pg/2023-02-10--专用设备-天地科技-天玛智控拟分拆上市，煤机龙头迎来新周期_page24_图232021年综采自动化控制系统竞争格局亿元.jpg	根据图中的数据，天玛智控的市场份额是多少？	综采自动化控制系统2015年前后在国内开始推广，逐渐被煤矿客户所接受，尤其在2019年、2020年市场需求迈上一个台阶，超过200台套，2021年进一步增加至超过300台套。随着煤矿开采智能化工作面的逐渐增加，市场应用的综采自动化控制系统的基数不断扩大，将为市场带来新的增长动能。2020年综采自动化控制系统市场规模为8.9亿元，同比增长16.2%；2021年市场规模为12.3亿元，同比增长38.0%。综采自动化控制系统市场头部效应明显，天玛智控市场占有率保持第一，占据大型煤炭企业的主要市场。郑煤机依靠主机厂资源优势取得了较大市场，排名第二。	28%	30%	33%	9%	C
pg	36	data/figure/pg/2024-03-25--专用设备-华荣股份-防爆电器龙头剑指全球，创新产品引领行业发展_page6_图表22022年公司各项业务占营业收入的比重.jpg	如果公司计划将厂用防爆电器的占比减少5%，并将矿用防爆电器的占比提高到12%，则其他业务占比保持不变，此时新能源EPC业务的占比大约为多少？	"公司是国内防爆电器行业龙头，全球前三。公司前身可追溯至1985年，由胡志荣先生等人创办的柳市控制开关厂，开始探索防爆电器领域。1987年，华荣科技股份有限公司成立，以厂用防爆起家，后逐步延伸至矿用和照明领域，2005年进军国际市场，同时向军工、核电、船舶、粮油、白酒等新行业拓展，产业布局持续优化。2017年，公司在上交所主板上市，发展进入新阶段，2019年推出革命性产品安工智能管控系统，并迅速实现推广，截至2022年，连续3年营收增速超50%，产品至今没有其他同行能够模仿。
目前，公司拥有400多个国际证书，2000多个国内CCC、防爆、消防等证书，是国际、国内同行业中产品系列最齐全、产品认证最广的防爆企业，2022年公司防爆电器全球份额第三。目前，公司正在从单一的“安全设备制造商”向“生产型安全服务商”转型。"	13%	14%	15%	16%	A
pg	37	data/figure/pg/2022-11-29--装修建材-兔宝宝-渠道横纵并拓，模式优化升级，板材龙头稳健成长_page5_图42021年公司营收结构情况.jpg	装饰材料与整体衣柜的市场份额差距是多少百分点？	"公司深耕板材行业三十年，目前稳坐国内板材行业龙头，主营装饰材料和定制家居两大板块， 2022H1 分别占比77%/22%，其他业务占比1%。公司为装饰板材领域龙头，2021 年营收65.82 亿元，毛利率13.68%，2022 年位居中国板材网“板材十大品牌”之首,高端品牌形象深入人心。近年来公司定制家居业务增势迅猛，2016-2021 年从2.98 亿元增长至26.87 亿元，CAGR 达55.28%，2021 年毛利率25.19%，相比2016 年提升了4.16pct。
公司多年增长稳定，2017-2021 年营收从41.2 亿元增长至94.26 亿元，CAGR 达22.99%；净利润从3.64 亿元增长至7.37 亿元，CAGR 达19.29%。2022 年行业受到疫情管控和下游地产行业低迷的影响较大，但是公司经营情况仍然稳健，三季度实现现金流边际改善：1）公司2022 年营收承压，前三季度公司营收58.73%，同比-7%。2）盈利能力保持稳定，2022 前三季度公司毛利率18.19%，净利率6.85%，相比2021年分别+0.49pct、-0.97pct。3 ）公司现金流保持良好，2022Q3 公司账面货币资金留存4.96 亿元， Q2/Q3 经营性现金净流入3.79/4.10 亿元， Q3 收现比/ 净现比分别为1.08X/2.63X，环比+0.13X/+0.30X，2022Q3 短期借款相比于2022H1 减少了2.52 亿元，公司现金流环比改善明显。"	43%	42%	41%	40%	A
pg	38	data/figure/pg/2023-10-13--通用设备-中核科技-核电行业景气上行，公司有望乘风而起_page16_图24核电设备投资占比2019年.jpg	根据图中的核电设备投资占比，核岛的占比为多少？	中国核电是由中国核工业集团有限公司作为控股股东，联合中国长江三峡集团有限 公司、中国远洋海运集团有限公司和航天投资控股有限公司共同出资设立，2015 年 6 月 10 日在 A 股上市。公司投资控股秦山核电、江苏核电、福清核电、海南核电、 三门核电、漳州能源、辽宁核电等在运、在建核电基地，控股中核汇能负责风电、光 伏等可再生能源开发，受托管理建设霞浦核电基地。公司拥有国内最丰富的核电在建 和运行机组堆型，其中压水堆包括 CP300、CP600、CP1000、VVER1000、VVER1200、AP1000、CAP1000、华龙一号等，重水堆包括 CANDU-6 等。截至 2024 年 9 月 30 日，公司第一大股东为中核集团，直接持股 59.36%，第二大 股东香港中央结算有限公司直接持股 3.94%，实控人是国务院国资委。 中核集团是国家核科技工业主体，是推进核能开发利用、核工程建设、核技术应用的 国家队和主力军，拥有完整的核科技工业体系。国家授权中核集团对核燃料、铀产品 的生产经营和进出口实行专营，中核集团是唯一拥有完整核燃料循环产业、能够实现 闭式循环的特大型中央企业。 凭借多年的技术积累，集团在核电技术开发上处于领先地位，核电是中核集团核产业 链中一环，中核集团的全产业链优势可给予公司大力支持，成为公司持续发展的坚强后盾。公司通过与中核集团下属燃料采购企业和组件加工企业签订长期协议，有效锁 定燃料采购数量和价格，保障公司稳定的成本结构和燃料来源。	20%	58%	22%	40%	B
pg	39	data/figure/pg/2023-01-15--软件开发-广联达-造价为盾，施工为矛，剑指一体化数字建筑平台_page12_图表232021年各类别工程造价咨询业务收入占比.jpg	如果公司计划将市政工程的占比提高到5%，并将公路工程的占比降低到2%，则其他业务占比保持不变，此时房屋建筑工程的占比大约为多少？	"根据2022年工程造价咨询统计公报，工程造价咨询业务收入按专业分类，房屋建筑工程专业收入670.50亿元，占比58.6%;市政工程专业收入196.34亿元，占比17.1%;公路工程专业收入55.67亿元，占比4.9%;城市轨道交通工程专业收入21.08亿元，占比1.8%;火电工程专业收入27.01亿元，占比2.4%;水电工程专业收入18.02亿元，占比1.6%;新能源工程专业收入11.46亿元，占比1.0%;水利工程专业收入30.40亿元，占比2.7%;其他工程专业收入114.50亿元，占比9.9%。房屋建筑工程造价咨询市场依赖我国房地产的发展，房地产市场发展向好，亦会推动房屋建筑工程造价咨询营业收入上涨。近年来，房屋建筑工程造价咨询市场不断壮大。2012年，该市场业务收入仅为207.51亿元;2022年房屋建筑工程专业收入670.50亿元，占工程造价咨询收入比重58.6%。市政建设市场本身市场规律性不强，更大程度上依赖于政府部门的行政规划。2016-2022年，我国市政工程造价咨询市场整体稳步发展。2022年，市政工程专业收入196.34亿元，几乎和2021年持平。





"	60%	58%	57%	56%	B
pg	40	data/figure/pg/2022-10-19--中药-康缘药业-公司首次覆盖报告：创新引领发展，注射焕发生机，基药驱动新增长_page15_图16桂枝茯苓胶囊主要在三级医院销售基层有较大扩展空间.jpg	如果三级医院的市场份额增长10%，其新的市场份额将变为多少？	康缘药业（600557.SH）12月18日在投资者互动平台表示，目前公司营业收入主要来自医院临床端销售收入。学术推广是公司医药销售的主要特色，公司坚持自建销售队伍，成立临床自营业态、OTC零售业态、分销业态包括电商和第三终端等销售团队，依靠专业学术推广队伍，通过专业医疗领域的学术带头人和各种层级、各种形式的学术推广活动，把产品临床应用研究成果传递给各级医疗机构目标医生与从业人员，从而提高公司医药产品的知名度和医生的认可度。 院外市场也是公司产品的重要销售渠道，包括线上平台及线下药店。公司正加大力度积极进行销售布局，以百强和头部连锁为核心、并扩大全国中小连锁和单体药店以及诊所等终端的覆盖。线上渠道头部B2C、B2B、O2O电商平台，也同步销售。您可以在线下实体药店、京东大药房、阿里大药房、美团等头部电商药店，康缘旗舰店购买金振口服液、杏贝止咳颗粒等重点品种。	63.09%	53.09%	43.09%	73.09%	A
