type	index	image_path	md_path	question	A	B	C	D	answer
sdt	60	data/figure/sdt/2024-06-20--工程机械-中联重科-多元化产品及海外差异化布局构筑核心竞争力_page19_图表4320232025年美国欧洲十国高空作业平台市场保有量预测.jpg	data/markdown/2024-06-20--工程机械-中联重科-多元化产品及海外差异化布局构筑核心竞争力_page19_图表4320232025年美国欧洲十国高空作业平台市场保有量预测.md	从2019年到2025年，美国和欧洲高空作业平台总需求量的复合年增长率（CAGR）分别是多少？	美国：5.5%，欧洲：3.5%	美国：6.0%，欧洲：4.0%	美国：5.0%，欧洲：3.0%	美国：6.5%，欧洲：4.5%	C
sdt	61	data/figure/sdt/2024-06-19--专用设备-科达制造-领先掘金非洲建材蓝海，陶机主业仍具成长空间_page25_表10全球陶瓷前十大消费国销量及市占率情况.jpg	data/markdown/2024-06-19--专用设备-科达制造-领先掘金非洲建材蓝海，陶机主业仍具成长空间_page25_表10全球陶瓷前十大消费国销量及市占率情况.md	从2017年到2022年，印度陶瓷产量的复合年增长率（CAGR）大约是多少？	0.065	0.052	0.048	0.039	B
sdt	62	data/figure/sdt/2024-06-18--风电设备-盘古智能-量产元年将至，国产风电液压变桨龙头蓄势待飞_page29_图表51风电液压变桨市场空间测算.jpg	data/markdown/2024-06-18--风电设备-盘古智能-量产元年将至，国产风电液压变桨龙头蓄势待飞_page29_图表51风电液压变桨市场空间测算.md	假设2025年我国陆上风电新增装机规模为87GW，平均单机容量为6.2MW，计算新增装机数量（万台）约为多少？	14	15	16	17	A
sdt	63	data/figure/sdt/2024-06-18--风电设备-盘古智能-量产元年将至，国产风电液压变桨龙头蓄势待飞_page33_图表56盘古智能盈利预测.jpg	data/markdown/2024-06-18--风电设备-盘古智能-量产元年将至，国产风电液压变桨龙头蓄势待飞_page33_图表56盘古智能盈利预测.md	根据图表，2023年液压系统业务的收入增长率（YOY）是多少？	0.69	0.87	0.2	1.12	A
sdt	64	data/figure/sdt/2024-06-18--物流行业-圆通速递-公司深度报告：电商快递业务稳步向好，数字化精益管理降本增效_page6_表2圆通速递前十大股东情况截止2024331.jpg	data/markdown/2024-06-18--物流行业-圆通速递-公司深度报告：电商快递业务稳步向好，数字化精益管理降本增效_page6_表2圆通速递前十大股东情况截止2024331.md	根据图中数据，计算上海圆通蛟龙投资发展(集团)有限公司的持股比例占前十大股东总持股比例的比例是多少？	0.4638	0.5	0.4972	0.485	A
sdt	65	data/figure/sdt/2024-06-18--中药-方盛制药-成长中的创新中药小巨头，新老产品放量在即_page20_图表49方盛制药主营业务收入拆分单位百万.jpg	data/markdown/2024-06-18--中药-方盛制药-成长中的创新中药小巨头，新老产品放量在即_page20_图表49方盛制药主营业务收入拆分单位百万.md	2022年骨伤科产品的毛利率比2021年下降了多少个百分点？	0.02	0.03	0.04	0.05	A
sdt	66	data/figure/sdt/2024-06-18--橡胶制品-赛轮轮胎-液体黄金、巨胎提升竞争力，全球布局引领未来_page22_图表322023年最具价值轮胎品牌榜单.jpg	data/markdown/2024-06-18--橡胶制品-赛轮轮胎-液体黄金、巨胎提升竞争力，全球布局引领未来_page22_图表322023年最具价值轮胎品牌榜单.md	如果固特异在2023年的品牌价值增长率为-1.5%，那么它在2022年的品牌价值是多少百万美元？	2274	2293	2312	2331	B
sdt	67	data/figure/sdt/2024-06-17--纺织服装-华利集团-剖析四大制鞋龙头，理解华利价值和优势_page18_图表29海外运动品牌库存情况.jpg	data/markdown/2024-06-17--纺织服装-华利集团-剖析四大制鞋龙头，理解华利价值和优势_page18_图表29海外运动品牌库存情况.md	Lululemon在2023年第二季度的存货/收入比相较于第一季度的变化如何？	增加1%	减少1%	增加2%	减少2%	B
sdt	68	data/figure/sdt/2024-06-17--纺织服装-华利集团-剖析四大制鞋龙头，理解华利价值和优势_page38_图表68业务拆分预测表.jpg	data/markdown/2024-06-17--纺织服装-华利集团-剖析四大制鞋龙头，理解华利价值和优势_page38_图表68业务拆分预测表.md	假设2023年美元兑人民币汇率为7.05，华利集团的美元单价将为多少？	15.01美元/双	15.76美元/双	16.55美元/双	17.05美元/双	A
sdt	69	data/figure/sdt/2024-06-17--有色金属-金徽股份-甘肃铅锌龙头，江洛整合值得期待_page11_图表24全球汽车耗锌量计算万辆万吨.jpg	data/markdown/2024-06-17--有色金属-金徽股份-甘肃铅锌龙头，江洛整合值得期待_page11_图表24全球汽车耗锌量计算万辆万吨.md	2024年海外汽车耗锌增量与2023年相比增加了多少万吨？	4	5	6	10	B
sdt	70	data/figure/sdt/2024-06-14--消费电子-安克创新-跨境电商龙头企业，成长动能充沛_page25_图46公司收入预测情况亿元.jpg	data/markdown/2024-06-14--消费电子-安克创新-跨境电商龙头企业，成长动能充沛_page25_图46公司收入预测情况亿元.md	2021年创新类产品的毛利率比2020年下降了多少个百分点？	0.105	0.125	0.15	0.175	A
sdt	71	data/figure/sdt/2024-06-13--医疗器械-麦澜德-女性康复器械领跑者，健康与美战略初现_page8_图表12主要控股参股公司.jpg	data/markdown/2024-06-13--医疗器械-麦澜德-女性康复器械领跑者，健康与美战略初现_page8_图表12主要控股参股公司.md	如果南京麦特斯特医疗器械有限公司的营业收入增长10%，其净利润将增加多少万元？	29.02	31.92	34.58	37.58	B
sdt	72	data/figure/sdt/2024-06-12--纺织服装-华利集团-深耕运动鞋履代工筑高壁垒，订单产能双增利润可期_page22_表9华利集团分业务预测拆分金额单位亿元.jpg	data/markdown/2024-06-12--纺织服装-华利集团-深耕运动鞋履代工筑高壁垒，订单产能双增利润可期_page22_表9华利集团分业务预测拆分金额单位亿元.md	根据预测，2025年运动休闲鞋收入的同比增长率是多少？	0.15	0.18	0.12	0.3	A
sdt	73	data/figure/sdt/2024-06-11--工程机械-大连重工-新增订单170亿，最坏的日子已经过去！大连重工：竞争依旧惨烈，营收稳步增长，ROE持续改善_page8_no_caption.jpg	data/markdown/2024-06-11--工程机械-大连重工-新增订单170亿，最坏的日子已经过去！大连重工：竞争依旧惨烈，营收稳步增长，ROE持续改善_page8_no_caption.md	根据表格数据，2020年资产减值损失占利润总额的比例是多少？	1.4	1.53	1.14	1.08	A
sdt	74	data/figure/sdt/2024-06-11--化学原料-雪天盐业-强“钠”战略，双轮驱动的持续深化_page20_图表33公司业绩拆分预测表.jpg	data/markdown/2024-06-11--化学原料-雪天盐业-强“钠”战略，双轮驱动的持续深化_page20_图表33公司业绩拆分预测表.md	根据表格数据，2023年各类盐业务的收入为2357.44百万元，2024年的预测收入为2576.58百万元，请计算2024年相对于2023年的收入增长率。	0.093	0.1	0.11	0.12	A
sdt	75	data/figure/sdt/2024-06-11--中药-马应龙-肛肠细分行业龙头，百年品牌守正创新_page10_图19治痔类产品零售端价格情况.jpg	data/markdown/2024-06-11--中药-马应龙-肛肠细分行业龙头，百年品牌守正创新_page10_图19治痔类产品零售端价格情况.md	根据图中数据，哪种规格的马应龙痔疮膏价格（元/盒）与日用药金额（元/天）的比例最小？	10g/支	20g/支	4g*6支	2.5g*5支	C
sdt	76	data/figure/sdt/2024-06-11--中药-马应龙-肛肠细分行业龙头，百年品牌守正创新_page18_表4公司收入拆分及盈利预测百万元.jpg	data/markdown/2024-06-11--中药-马应龙-肛肠细分行业龙头，百年品牌守正创新_page18_表4公司收入拆分及盈利预测百万元.md	如果2025年内部抵消为220.00万元，那么2025年营业总收入的实际值是多少？	3983.59	4457.53	4237.59	4237.53	C
sdt	77	data/figure/sdt/2024-06-10--中药-方盛制药-公司首次覆盖报告：聚焦创新中药主业，“338”大产品战略稳步推进_page12_表720192022年藤黄健骨片销售额占缓解期和康复期适用药品总销售额的比例呈提升趋势.jpg	data/markdown/2024-06-10--中药-方盛制药-公司首次覆盖报告：聚焦创新中药主业，“338”大产品战略稳步推进_page12_表720192022年藤黄健骨片销售额占缓解期和康复期适用药品总销售额的比例呈提升趋势.md	2021年消痛贴膏在发作期的市场份额占比与2020年相比，变化了多少个百分点？	-0.016	0.016	0.024	-0.024	A
sdt	78	data/figure/sdt/2024-06-10--中药-方盛制药-公司首次覆盖报告：聚焦创新中药主业，“338”大产品战略稳步推进_page25_表19基于关键假设预计公司各板块收入增速保持稳健.jpg	data/markdown/2024-06-10--中药-方盛制药-公司首次覆盖报告：聚焦创新中药主业，“338”大产品战略稳步推进_page25_表19基于关键假设预计公司各板块收入增速保持稳健.md	假设方盛制药2023年的净利润为187百万元，如果其2024年的净利润增长率为25.5%，那么2024年的净利润预计为多少？	234.5百万元	234百万元	235.5百万元	233.5百万元	B
sdt	79	data/figure/sdt/2024-06-07--生物制品-博雅生物-聚焦血液制品主业，新浆站、新产品打开成长空间_page22_表7公司获批浆站及采浆量情况.jpg	data/markdown/2024-06-07--生物制品-博雅生物-聚焦血液制品主业，新浆站、新产品打开成长空间_page22_表7公司获批浆站及采浆量情况.md	根据表格数据，2023年与2022年相比，单站平均采浆量增加了多少吨？	0.6吨	0.4吨	0.8吨	0.2吨	A
sdt	80	data/figure/sdt/2024-06-06--半导体-海光信息-AI芯片概念股，国产CPU+DCU芯片设计厂商，公司一季度扣非净利润增长42.7%_page8_2024一季度海光信息前十大流通股股东持仓情况.jpg	data/markdown/2024-06-06--半导体-海光信息-AI芯片概念股，国产CPU+DCU芯片设计厂商，公司一季度扣非净利润增长42.7%_page8_2024一季度海光信息前十大流通股股东持仓情况.md	根据表格数据，哪一家股东的持股数量在上期持股变动数中增加最多？	南京大诚创业投资(有限合伙)	华夏上证科创板50ETF	易方达上证科创板50ETF	香港中央结算有限公司	D
sdt	81	data/figure/sdt/2024-06-05--光伏设备-艾罗能源-公司深度报告：欧洲户储改善在即，工商储有望贡献新增量_page38_表公司主要财务指标.jpg	data/markdown/2024-06-05--光伏设备-艾罗能源-公司深度报告：欧洲户储改善在即，工商储有望贡献新增量_page38_表公司主要财务指标.md	根据预测，2025年该公司的归母净利润增长率是多少？	0.64	0.38	0.19	0.29	A
sdt	82	data/figure/sdt/2024-06-02--化学原料-华鲁恒升-低成本为抓手无惧红海，煤化工龙头持续成长_page16_图表202023年国内煤制烯烃项目.jpg	data/markdown/2024-06-02--化学原料-华鲁恒升-低成本为抓手无惧红海，煤化工龙头持续成长_page16_图表202023年国内煤制烯烃项目.md	根据表格数据，宁夏神华宁煤的烯烃产能与大唐多伦煤化工的烯烃产能之比是多少？	2.17	2.35	2.48	2.61	A
sdt	83	data/figure/sdt/2024-06-02--化学原料-华鲁恒升-低成本为抓手无惧红海，煤化工龙头持续成长_page19_图表272024年5月我国醋酸生产企业产能情况.jpg	data/markdown/2024-06-02--化学原料-华鲁恒升-低成本为抓手无惧红海，煤化工龙头持续成长_page19_图表272024年5月我国醋酸生产企业产能情况.md	如果广西华谊和塞拉尼斯的产能分别增加10万吨，那么它们的产能占比将变为多少？	0.11	0.12	0.13	0.14	A
sdt	84	data/figure/sdt/2024-05-31--电机-卧龙电驱-“电驱+光储+eVTOL”一体两翼，全球电机龙头构建新格局_page11_图表18eVTOL成本拆分.jpg	data/markdown/2024-05-31--电机-卧龙电驱-“电驱+光储+eVTOL”一体两翼，全球电机龙头构建新格局_page11_图表18eVTOL成本拆分.md	在1万台规模下，600kg方案的电池ASP合计占总成本的比例为14%，而2t方案的电池ASP合计占总成本的比例为34%。请问2t方案的电池ASP合计比600kg方案高多少百分点？	20个百分点	22个百分点	24个百分点	26个百分点	A
sdt	85	data/figure/sdt/2024-05-31--电机-卧龙电驱-“电驱+光储+eVTOL”一体两翼，全球电机龙头构建新格局_page22_图表46全球分地区新能源车销量预测.jpg	data/markdown/2024-05-31--电机-卧龙电驱-“电驱+光储+eVTOL”一体两翼，全球电机龙头构建新格局_page22_图表46全球分地区新能源车销量预测.md	从2020年到2025年，全球新能源车销量的复合年增长率约为多少？	0.27	0.35	0.44	0.55	A
sdt	86	data/figure/sdt/2024-05-28--仪器仪表-天罡股份-超声仪表领军企业，热表水表齐头并进_page9_图表11部分城市供水价格调整不含污水处理费等.jpg	data/markdown/2024-05-28--仪器仪表-天罡股份-超声仪表领军企业，热表水表齐头并进_page9_图表11部分城市供水价格调整不含污水处理费等.md	比较昆明市晋宁区和陕西咸阳市的第三级水价调整后涨幅，哪个城市的涨幅更大？	昆明市晋宁区	陕西咸阳市	两者相同	无法确定	A
sdt	87	data/figure/sdt/2024-05-28--医疗器械-微电生理-冰火电协同布局，国产龙头加速房颤治疗国产化进程_page23_图表38公司业绩拆分预测表.jpg	data/markdown/2024-05-28--医疗器械-微电生理-冰火电协同布局，国产龙头加速房颤治疗国产化进程_page23_图表38公司业绩拆分预测表.md	从2022年到2025E，其他业务的销售收入复合增长率大约是多少？	0.5	0.6	0.7	0.8	A
sdt	88	data/figure/sdt/2024-05-24--食品饮料-天味食品-川调龙头产品长青，内延外拓渠道焕新_page25_表5拾翠坊销量前十大产品规格单价月销量.jpg	data/markdown/2024-05-24--食品饮料-天味食品-川调龙头产品长青，内延外拓渠道焕新_page25_表5拾翠坊销量前十大产品规格单价月销量.md	根据表中数据，手抓饼酱料和煎饼果子专用酱的价格均为18.80元/1000g，但已售数量不同。如果手抓饼酱料已售3+万件，煎饼果子专用酱已售2+万件，哪种产品的总销售额更高？	手抓饼酱料	煎饼果子专用酱	两者相同	无法确定	A
sdt	89	data/figure/sdt/2024-05-24--煤炭行业-电投能源-深度报告：煤电铝三大业务共成长，稳健性和弹性兼备_page29_图表可比公司盈利预测及估值.jpg	data/markdown/2024-05-24--煤炭行业-电投能源-深度报告：煤电铝三大业务共成长，稳健性和弹性兼备_page29_图表可比公司盈利预测及估值.md	根据表格数据，计算中国神华在2024E至2026E期间的平均归母净利润增长率，并选择最接近的答案。	0.05	0.07	0.09	0.11	B
sdt	90	data/figure/sdt/2024-05-23--化学制品-巨化股份-氟化工一体化龙头，HFCs配额全国第一_page24_图表512024年各大头部企业获主流三代制冷剂配额情况万吨.jpg	data/markdown/2024-05-23--化学制品-巨化股份-氟化工一体化龙头，HFCs配额全国第一_page24_图表512024年各大头部企业获主流三代制冷剂配额情况万吨.md	根据图表，巨化股份的主流品种配额占比为30.7%，请问其主流品种配额是多少万吨？	22.42	11.71	7.64	9.6	A
sdt	91	data/figure/sdt/2024-05-22--医药商业-百洋医药-创新型医药商业化平台，成熟运营经验持续复制_page5_图表112023年创新药企业与商业化平台销售费用率情况对比.jpg	data/markdown/2024-05-22--医药商业-百洋医药-创新型医药商业化平台，成熟运营经验持续复制_page5_图表112023年创新药企业与商业化平台销售费用率情况对比.md	在所有列出的公司中，哪家公司的人均年费用最低？	微芯生物	泽璟制药	康哲药业	上海医药	B
sdt	92	data/figure/sdt/2024-05-22--光伏设备-阳光电源-光储双轮驱动，龙头昂扬奋发_page28_图表67公司收入与毛利预测.jpg	data/markdown/2024-05-22--光伏设备-阳光电源-光储双轮驱动，龙头昂扬奋发_page28_图表67公司收入与毛利预测.md	根据图表，2023年光伏逆变器的毛利率为多少？	0.35	0.379	0.34	0.365	B
sdt	93	data/figure/sdt/2024-05-19--光伏设备-福斯特-光伏景气底部看龙头系列（一）：全方位优势在手，胶膜龙头谱写新篇章_page34_图表80公司胶膜业务分拆预测.jpg	data/markdown/2024-05-19--光伏设备-福斯特-光伏景气底部看龙头系列（一）：全方位优势在手，胶膜龙头谱写新篇章_page34_图表80公司胶膜业务分拆预测.md	在2025年预测中，单位成本与单位毛利的差值是多少元/平？	4.14	4.16	4.18	4.2	A
sdt	94	data/figure/sdt/2024-05-19--光伏设备-福斯特-光伏景气底部看龙头系列（一）：全方位优势在手，胶膜龙头谱写新篇章_page6_图表3组件价格及WACC下降对光伏项目IRR提升贡献显著敏感性分析.jpg	data/markdown/2024-05-19--光伏设备-福斯特-光伏景气底部看龙头系列（一）：全方位优势在手，胶膜龙头谱写新篇章_page6_图表3组件价格及WACC下降对光伏项目IRR提升贡献显著敏感性分析.md	在WACC为5.0%的情况下，组件价格为0.21 USD/W时的IRR比组件价格为0.15 USD/W时的IRR低多少个百分点？	0.022	0.028	0.034	0.04	C
sdt	95	data/figure/sdt/2024-05-16--游戏-恺英网络-情怀+创新筑IP护城河，重点游戏赋能稳健增长_page2_表1收入成本拆分.jpg	data/markdown/2024-05-16--游戏-恺英网络-情怀+创新筑IP护城河，重点游戏赋能稳健增长_page2_表1收入成本拆分.md	假设2024年营业总收入为5388.79百万元，比2023年增长了25.46%，那么2023年的营业总收入是多少？	4295.39百万元	4300.00百万元	4305.00百万元	4310.00百万元	A
sdt	96	data/figure/sdt/2024-05-14--酿酒行业-泸州老窖-向上势能不减，盈利持续提升_page3_表2可比公司估值.jpg	data/markdown/2024-05-14--酿酒行业-泸州老窖-向上势能不减，盈利持续提升_page3_表2可比公司估值.md	根据表格数据，贵州茅台在2025E的归母净利润预计为多少亿元？	1019	877.8	380.6	131.5	A
sdt	97	data/figure/sdt/2024-05-12--电源设备-科威尔-公司首次覆盖报告：测试电源龙头，多场景全维度拓宽产品应用领域_page14_表52025年国内新增新能源车产能有望带来车载电源测试电源065亿市场.jpg	data/markdown/2024-05-12--电源设备-科威尔-公司首次覆盖报告：测试电源龙头，多场景全维度拓宽产品应用领域_page14_表52025年国内新增新能源车产能有望带来车载电源测试电源065亿市场.md	假设国内厂商占全球新能源汽车市场份额保持不变，2025年国内新增车载电源产能带来的全国测试电源市场容量为多少亿元？	0.64	0.6	0.63	0.65	A
sdt	98	data/figure/sdt/2024-05-12--电源设备-科威尔-公司首次覆盖报告：测试电源龙头，多场景全维度拓宽产品应用领域_page26_表13公司营收拆分及预测.jpg	data/markdown/2024-05-12--电源设备-科威尔-公司首次覆盖报告：测试电源龙头，多场景全维度拓宽产品应用领域_page26_表13公司营收拆分及预测.md	根据表格数据，2023年新能源发电业务的毛利率为多少？	0.542	0.572	0.497	0.581	A
sdt	99	data/figure/sdt/2024-05-12--电源设备-科威尔-公司首次覆盖报告：测试电源龙头，多场景全维度拓宽产品应用领域_page14_表62025年国内新增新能源车产能有望带来充电桩测试电源135亿市场.jpg	data/markdown/2024-05-12--电源设备-科威尔-公司首次覆盖报告：测试电源龙头，多场景全维度拓宽产品应用领域_page14_表62025年国内新增新能源车产能有望带来充电桩测试电源135亿市场.md	如果2025年全球充电桩需求增量为195.3万台，单台充电桩需求新增对测试电源产品需求额为98.2元/台，那么全球测试电源市场容量将达到多少亿元？	1.69	1.92	1.82	1.65	B
sdt	100	data/figure/sdt/2024-05-08--农牧饲渔-秋乐种业-玉米种优质企业，新品种助力业务稳增长_page13_表3玉米市场供过于求.jpg	data/markdown/2024-05-08--农牧饲渔-秋乐种业-玉米种优质企业，新品种助力业务稳增长_page13_表3玉米市场供过于求.md	根据表格数据，2013年至2023年期间，哪一年的制种产量与需种量之差最大？	2013年	2016年	2023年	2018年	C
sdt	101	data/figure/sdt/2024-05-07--化学制品-聚胶股份-卫材热熔胶全球破局者，海外扩张稳步推进_page28_表9假设主要原材料价格以5的幅度变动下公司毛利率敏感性分析.jpg	data/markdown/2024-05-07--化学制品-聚胶股份-卫材热熔胶全球破局者，海外扩张稳步推进_page28_表9假设主要原材料价格以5的幅度变动下公司毛利率敏感性分析.md	假设公司当前的毛利率为25%，根据表格数据，如果矿物油/石油树脂的价格从0.95上升到1.10，毛利率将降至多少？	0.17	0.18	0.19	0.2	A
sdt	102	data/figure/sdt/2024-04-21--汽车零部件-多利科技-行业景气叠加一体化压铸的持续推进，公司业绩预期向好_page2_表1收入成本拆分.jpg	data/markdown/2024-04-21--汽车零部件-多利科技-行业景气叠加一体化压铸的持续推进，公司业绩预期向好_page2_表1收入成本拆分.md	假设2024年营业总收入为488,770.01百万元，比2023年增长了24.9%，那么2023年的营业总收入是多少？	391,254百万元	391,254.01百万元	391,254.02百万元	391,254.03百万元	A
sdt	103	data/figure/sdt/2024-04-19--化学制品-山东赫达-山东赫达深度报告：国内纤维素醚龙头，全球化布局成长可期_page23_附表1公司分业务增速与毛利预测单位百万元人民币.jpg	data/markdown/2024-04-19--化学制品-山东赫达-山东赫达深度报告：国内纤维素醚龙头，全球化布局成长可期_page23_附表1公司分业务增速与毛利预测单位百万元人民币.md	根据预测，2024年纤维素醚的收入增速为39.75%，植物胶囊的收入增速为67.27%，请问哪项业务在2024年的收入增长更快？	纤维素醚	植物胶囊	其他	无法确定	B
sdt	104	data/figure/sdt/2024-04-15--中药-马应龙-百年肛肠品牌开拓边界，结构优化未来可期_page5_表1分业务收入及毛利率.jpg	data/markdown/2024-04-15--中药-马应龙-百年肛肠品牌开拓边界，结构优化未来可期_page5_表1分业务收入及毛利率.md	假设2023年医疗服务的毛利率为13.7%，2024年预计增长至13.5%，请问2024年医疗服务的毛利润是多少？	0.53亿元	0.56亿元	0.58亿元	0.60亿元	A
sdt	105	data/figure/sdt/2024-04-15--家用轻工-致欧科技-高效供应链造就性价比，“线上宜家”出海正当时_page16_表7致欧科技各渠道收入结构.jpg	data/markdown/2024-04-15--家用轻工-致欧科技-高效供应链造就性价比，“线上宜家”出海正当时_page16_表7致欧科技各渠道收入结构.md	根据表格数据，2020年B2C业务收入增速为62.9%，请问2020年B2C业务收入是多少亿元？	32.9	48.2	20.2	15.1	A
sdt	106	data/figure/sdt/2024-04-15--家用轻工-致欧科技-高效供应链造就性价比，“线上宜家”出海正当时_page14_表5中国出口至欧洲美国市场份额变化出口金额前20品类.jpg	data/markdown/2024-04-15--家用轻工-致欧科技-高效供应链造就性价比，“线上宜家”出海正当时_page14_表5中国出口至欧洲美国市场份额变化出口金额前20品类.md	根据图表，美国市场中哪类产品在2017-2022年份额变化最大？	杂项制品（含各类小商品）	玩具、游戏品、运动用品	跨境电商 B2B 简化申报产品	贱金属工具及零件	A
sdt	107	data/figure/sdt/2024-04-11--中药-济川药业-Q4业绩超预期，分红率再度提高_page1_图表2济川药业分季度财务指标变化单位百万元.jpg	data/markdown/2024-04-11--中药-济川药业-Q4业绩超预期，分红率再度提高_page1_图表2济川药业分季度财务指标变化单位百万元.md	根据2022年第三季度至2023年第一季度的数据，济川药业的归母净利润同比增长率分别为37.89%、29.39%和16.44%。如果2023年第二季度的归母净利润为663.09百万元，且同比增长率为52.65%，那么2022年第二季度的归母净利润约为多少？	434.38百万元	435.38百万元	436.38百万元	437.38百万元	A
sdt	108	data/figure/sdt/2024-04-08--通用设备-华光新材-公司年报点评：23年归母净利润0.42亿元，同比增长377.19%，拓展电子和新能源汽车赛道_page1_表1华光新材分业务盈利预测.jpg	data/markdown/2024-04-08--通用设备-华光新材-公司年报点评：23年归母净利润0.42亿元，同比增长377.19%，拓展电子和新能源汽车赛道_page1_表1华光新材分业务盈利预测.md	假设2025年银浆的销售收入增长率为20%，那么2025年的银浆销售收入将是多少百万元？	210.94	211.94	212.94	213.94	A
sdt	109	data/figure/sdt/2024-04-05--小金属-金力永磁-2023年年报点评：穿越稀土周期，下游多维布局发展_page2_图5单季度财务数据.jpg	data/markdown/2024-04-05--小金属-金力永磁-2023年年报点评：穿越稀土周期，下游多维布局发展_page2_图5单季度财务数据.md	如果以2023年Q4的营业收入为基准，计算2023年Q3的营业收入增长率是多少？	-0.01	-0.005	-0.015	-0.02	A
sdt	110	data/figure/sdt/2024-04-01--采掘行业-海油工程-深度报告：油气行业景气度回暖，海工龙头有望充分受益_page25_表9可比公司PE数据对比.jpg	data/markdown/2024-04-01--采掘行业-海油工程-深度报告：油气行业景气度回暖，海工龙头有望充分受益_page25_表9可比公司PE数据对比.md	如果以2022年的实际市盈率（PE）为基准，哪家公司在2025年的预期市盈率下降幅度最大？	石化油服	中曼石油	海油发展	杰瑞股份	B
sdt	111	data/figure/sdt/2024-03-29--化肥行业-云天化-2023年报点评：化肥价格下降影响利润，镇雄磷矿进一步提升公司资源保障能力_page4_表1云天化主要产品季度经营数据.jpg	data/markdown/2024-03-29--化肥行业-云天化-2023年报点评：化肥价格下降影响利润，镇雄磷矿进一步提升公司资源保障能力_page4_表1云天化主要产品季度经营数据.md	从2022年第一季度到2023年第四季度，复合肥的总营收增长了多少亿元？	3.52亿元	4.78亿元	6.21亿元	7.94亿元	C
sdt	112	data/figure/sdt/2024-03-29--化肥行业-云天化-2023年报点评：化肥价格下降影响利润，镇雄磷矿进一步提升公司资源保障能力_page4_表2主要产品市场价格变化情况元吨.jpg	data/markdown/2024-03-29--化肥行业-云天化-2023年报点评：化肥价格下降影响利润，镇雄磷矿进一步提升公司资源保障能力_page4_表2主要产品市场价格变化情况元吨.md	根据表格数据，2023Q4磷酸一铵的价格比2022Q1上涨了多少元？	1972元	2052元	2172元	2292元	B
sdt	113	data/figure/sdt/2024-03-27--食品饮料-乖宝宠物-宠食国货翘楚，乘风破浪突围_page27_表9盈利预测.jpg	data/markdown/2024-03-27--食品饮料-乖宝宠物-宠食国货翘楚，乘风破浪突围_page27_表9盈利预测.md	根据表格数据，2022年零食业务的收入增长率与主粮业务的收入增长率相比，哪个更高？	零食业务	主粮业务	两者相同	无法确定	A
sdt	114	data/figure/sdt/2024-03-20--半导体-扬杰科技-功率龙头有望进入边际改善周期_page14_图表3220212027年SiC器件各市场规模预测.jpg	data/markdown/2024-03-20--半导体-扬杰科技-功率龙头有望进入边际改善周期_page14_图表3220212027年SiC器件各市场规模预测.md	根据图表，2021年到2027年SiC器件市场规模的复合年增长率（CAGR）为多少？	0.3395	0.3921	0.2784	0.161	A
sdt	115	data/figure/sdt/2024-03-25--化肥行业-藏格矿业-2023年年报点评：碳酸锂成本优势维持，公司维持高分红_page1_图1公司分季度业绩拆分情况百万元.jpg	data/markdown/2024-03-25--化肥行业-藏格矿业-2023年年报点评：碳酸锂成本优势维持，公司维持高分红_page1_图1公司分季度业绩拆分情况百万元.md	根据2023年四个季度的数据，计算2023Q4的营业收入与2023Q1的营业收入之差是多少？	-337.1百万	-3.371	337.1百万	3.371	A
sdt	116	data/figure/sdt/2024-03-25--化肥行业-藏格矿业-2023年年报点评：碳酸锂成本优势维持，公司维持高分红_page3_图4藏格矿业季度费用情况.jpg	data/markdown/2024-03-25--化肥行业-藏格矿业-2023年年报点评：碳酸锂成本优势维持，公司维持高分红_page3_图4藏格矿业季度费用情况.md	2023年Q2的研发费用与Q1相比，增加了多少百万元？	0.48	0.58	0.68	0.78	A
sdt	117	data/figure/sdt/2024-03-23--化学制品-信德新材-公司首次覆盖报告：负极包覆材料翘楚，一体化奠定竞争优势_page10_表620202021信德新材在江西紫宸包覆材料供货中占比超bf60.jpg	data/markdown/2024-03-23--化学制品-信德新材-公司首次覆盖报告：负极包覆材料翘楚，一体化奠定竞争优势_page10_表620202021信德新材在江西紫宸包覆材料供货中占比超bf60.md	根据2021年数据，江西紫宸的负极包覆材料添加量为多少？	0.1297	0.1188	0.1021	0.11	A
sdt	118	data/figure/sdt/2024-03-20--美容护理-润本股份-驱蚊赛道国货龙头，婴童护理业务打开增长空间_page5_表320202022年公司线上渠道主要店铺销售信息.jpg	data/markdown/2024-03-20--美容护理-润本股份-驱蚊赛道国货龙头，婴童护理业务打开增长空间_page5_表320202022年公司线上渠道主要店铺销售信息.md	比较润本京东自营官方旗舰店和润本官方特卖旗舰店在2022年的毛利率，哪一家更高？	润本京东自营官方旗舰店	润本官方特卖旗舰店	两者相同	无法确定	A
sdt	119	data/figure/sdt/2024-03-20--半导体-扬杰科技-功率龙头有望进入边际改善周期_page23_图表59FCFF估值敏感性测试.jpg	data/markdown/2024-03-20--半导体-扬杰科技-功率龙头有望进入边际改善周期_page23_图表59FCFF估值敏感性测试.md	在WACC为5.90%的情况下，永续增长率从1.06%增加到2.74%，FCFF估值增加了多少？	增加了24.38	增加了22.38	增加了26.38	增加了20.38	A
