type	index	image	round	question	A	B	C	D	answer
sdt	32	data/figure/sdt/2022-11-13--有色金属-鼎胜新材-电池铝箔高景气，龙头企业优势凸显_page14_no_caption.jpg,data/figure/sdt/2022-11-13--有色金属-鼎胜新材-电池铝箔高景气，龙头企业优势凸显_page9_表3全球电池铝箔需求预估.jpg,data/figure/sdt/2022-11-13--有色金属-鼎胜新材-电池铝箔高景气，龙头企业优势凸显_page10_表4国内电池铝箔项目梳理.jpg	1	根据表格1，普板带业务在2021年的收入为多少？	2.0392	1.7533	1.8270	1.7370	A
sdt	32	data/figure/sdt/2022-11-13--有色金属-鼎胜新材-电池铝箔高景气，龙头企业优势凸显_page14_no_caption.jpg,data/figure/sdt/2022-11-13--有色金属-鼎胜新材-电池铝箔高景气，龙头企业优势凸显_page9_表3全球电池铝箔需求预估.jpg,data/figure/sdt/2022-11-13--有色金属-鼎胜新材-电池铝箔高景气，龙头企业优势凸显_page10_表4国内电池铝箔项目梳理.jpg	2	根据表格1，电池箔业务在2021年的收入为多少？	647.7	1753.3	4080.0	6120.0	B
sdt	32	data/figure/sdt/2022-11-13--有色金属-鼎胜新材-电池铝箔高景气，龙头企业优势凸显_page14_no_caption.jpg,data/figure/sdt/2022-11-13--有色金属-鼎胜新材-电池铝箔高景气，龙头企业优势凸显_page9_表3全球电池铝箔需求预估.jpg,data/figure/sdt/2022-11-13--有色金属-鼎胜新材-电池铝箔高景气，龙头企业优势凸显_page10_表4国内电池铝箔项目梳理.jpg	3	根据表格1，合计在2021年的收入为多少？	12246.6	18167.9	19652	20972	B
sdt	32	data/figure/sdt/2022-11-13--有色金属-鼎胜新材-电池铝箔高景气，龙头企业优势凸显_page14_no_caption.jpg,data/figure/sdt/2022-11-13--有色金属-鼎胜新材-电池铝箔高景气，龙头企业优势凸显_page9_表3全球电池铝箔需求预估.jpg,data/figure/sdt/2022-11-13--有色金属-鼎胜新材-电池铝箔高景气，龙头企业优势凸显_page10_表4国内电池铝箔项目梳理.jpg	4	根据表格2，新能源汽车产量从2018年到2021年的复合增长率是多少？	20.8%	25.0%	30.0%	35.0%	B
sdt	32	data/figure/sdt/2022-11-13--有色金属-鼎胜新材-电池铝箔高景气，龙头企业优势凸显_page14_no_caption.jpg,data/figure/sdt/2022-11-13--有色金属-鼎胜新材-电池铝箔高景气，龙头企业优势凸显_page9_表3全球电池铝箔需求预估.jpg,data/figure/sdt/2022-11-13--有色金属-鼎胜新材-电池铝箔高景气，龙头企业优势凸显_page10_表4国内电池铝箔项目梳理.jpg	5	根据表格2和表格3，预计到2025年全球电池铝箔需求量将达到多少万吨?	68.0	74.1	80.0	88.0	B
sdt	33	data/figure/sdt/2022-12-21--半导体-杰华特-杰华特深度报告：大陆稀缺虚拟IDM玩家，率先布局服务器DCDC_page37_图表76杰华特盈利预测百万元.jpg,data/figure/sdt/2022-12-21--半导体-杰华特-杰华特深度报告：大陆稀缺虚拟IDM玩家，率先布局服务器DCDC_page32_图表70intel和AMD服务器CPUDRMOS供电方案.jpg,data/figure/sdt/2022-12-21--半导体-杰华特-杰华特深度报告：大陆稀缺虚拟IDM玩家，率先布局服务器DCDC_page30_图表68TIDrMOS梳理.jpg	1	根据表格1，2024年DCDC的营收预测是多少？	1	1	1	1	A
sdt	33	data/figure/sdt/2022-12-21--半导体-杰华特-杰华特深度报告：大陆稀缺虚拟IDM玩家，率先布局服务器DCDC_page37_图表76杰华特盈利预测百万元.jpg,data/figure/sdt/2022-12-21--半导体-杰华特-杰华特深度报告：大陆稀缺虚拟IDM玩家，率先布局服务器DCDC_page32_图表70intel和AMD服务器CPUDRMOS供电方案.jpg,data/figure/sdt/2022-12-21--半导体-杰华特-杰华特深度报告：大陆稀缺虚拟IDM玩家，率先布局服务器DCDC_page30_图表68TIDrMOS梳理.jpg	2	根据表格1，2024年ACDC的营收预测是多少？	576	576	576	576	A
sdt	33	data/figure/sdt/2022-12-21--半导体-杰华特-杰华特深度报告：大陆稀缺虚拟IDM玩家，率先布局服务器DCDC_page37_图表76杰华特盈利预测百万元.jpg,data/figure/sdt/2022-12-21--半导体-杰华特-杰华特深度报告：大陆稀缺虚拟IDM玩家，率先布局服务器DCDC_page32_图表70intel和AMD服务器CPUDRMOS供电方案.jpg,data/figure/sdt/2022-12-21--半导体-杰华特-杰华特深度报告：大陆稀缺虚拟IDM玩家，率先布局服务器DCDC_page30_图表68TIDrMOS梳理.jpg	3	根据表格1，2024年线性电源的营收预测是多少？	685	685	685	685	A
sdt	33	data/figure/sdt/2022-12-21--半导体-杰华特-杰华特深度报告：大陆稀缺虚拟IDM玩家，率先布局服务器DCDC_page37_图表76杰华特盈利预测百万元.jpg,data/figure/sdt/2022-12-21--半导体-杰华特-杰华特深度报告：大陆稀缺虚拟IDM玩家，率先布局服务器DCDC_page32_图表70intel和AMD服务器CPUDRMOS供电方案.jpg,data/figure/sdt/2022-12-21--半导体-杰华特-杰华特深度报告：大陆稀缺虚拟IDM玩家，率先布局服务器DCDC_page30_图表68TIDrMOS梳理.jpg	4	根据表格1和表格2，2021年Intel在台式机市场的上的出货量是多少？	75	75	75	75	A
sdt	33	data/figure/sdt/2022-12-21--半导体-杰华特-杰华特深度报告：大陆稀缺虚拟IDM玩家，率先布局服务器DCDC_page37_图表76杰华特盈利预测百万元.jpg,data/figure/sdt/2022-12-21--半导体-杰华特-杰华特深度报告：大陆稀缺虚拟IDM玩家，率先布局服务器DCDC_page32_图表70intel和AMD服务器CPUDRMOS供电方案.jpg,data/figure/sdt/2022-12-21--半导体-杰华特-杰华特深度报告：大陆稀缺虚拟IDM玩家，率先布局服务器DCDC_page30_图表68TIDrMOS梳理.jpg	5	根据表格1和表格2，2021年AMD在服务器市场上的出货量是多少？	157	157	157	157	A
sdt	33	data/figure/sdt/2022-12-21--半导体-杰华特-杰华特深度报告：大陆稀缺虚拟IDM玩家，率先布局服务器DCDC_page37_图表76杰华特盈利预测百万元.jpg,data/figure/sdt/2022-12-21--半导体-杰华特-杰华特深度报告：大陆稀缺虚拟IDM玩家，率先布局服务器DCDC_page32_图表70intel和AMD服务器CPUDRMOS供电方案.jpg,data/figure/sdt/2022-12-21--半导体-杰华特-杰华特深度报告：大陆稀缺虚拟IDM玩家，率先布局服务器DCDC_page30_图表68TIDrMOS梳理.jpg	6	根据表格1和表格2，2021年ARM架构在笔记本市场上的出货量是多少？	4	4	4	4	A
sdt	34	data/figure/sdt/2022-12-20--通用设备-中大力德-公司首次覆盖报告：机器人运动执行部件制造的多面选手_page8_no_caption.jpg,data/figure/sdt/2022-12-20--通用设备-中大力德-公司首次覆盖报告：机器人运动执行部件制造的多面选手_page22_表10主营收入拆分百万元.jpg,data/figure/sdt/2022-12-20--通用设备-中大力德-公司首次覆盖报告：机器人运动执行部件制造的多面选手_page15_表5中观情境下谐波减速器产能缺口有望达千万台级.jpg	1	根据表格数据，2013年至2022E年期间，中国机器人销售额的变化趋势是什么？	持续增长	先增后减	波动变化	持续下降	A
sdt	34	data/figure/sdt/2022-12-20--通用设备-中大力德-公司首次覆盖报告：机器人运动执行部件制造的多面选手_page8_no_caption.jpg,data/figure/sdt/2022-12-20--通用设备-中大力德-公司首次覆盖报告：机器人运动执行部件制造的多面选手_page22_表10主营收入拆分百万元.jpg,data/figure/sdt/2022-12-20--通用设备-中大力德-公司首次覆盖报告：机器人运动执行部件制造的多面选手_page15_表5中观情境下谐波减速器产能缺口有望达千万台级.jpg	2	根据上一轮问题的答案，结合表格数据，2013年至2022E年期间，中国机器人均价的变化趋势是什么？	持续下降	先增后减	波动变化	持续上升	A
sdt	34	data/figure/sdt/2022-12-20--通用设备-中大力德-公司首次覆盖报告：机器人运动执行部件制造的多面选手_page8_no_caption.jpg,data/figure/sdt/2022-12-20--通用设备-中大力德-公司首次覆盖报告：机器人运动执行部件制造的多面选手_page22_表10主营收入拆分百万元.jpg,data/figure/sdt/2022-12-20--通用设备-中大力德-公司首次覆盖报告：机器人运动执行部件制造的多面选手_page15_表5中观情境下谐波减速器产能缺口有望达千万台级.jpg	3	根据上一轮问题的答案，结合表格数据，2013年至2022E年期间，人工总费用的变化趋势是什么？	持续下降	先增后减	波动变化	持续上升	D
sdt	34	data/figure/sdt/2022-12-20--通用设备-中大力德-公司首次覆盖报告：机器人运动执行部件制造的多面选手_page8_no_caption.jpg,data/figure/sdt/2022-12-20--通用设备-中大力德-公司首次覆盖报告：机器人运动执行部件制造的多面选手_page22_表10主营收入拆分百万元.jpg,data/figure/sdt/2022-12-20--通用设备-中大力德-公司首次覆盖报告：机器人运动执行部件制造的多面选手_page15_表5中观情境下谐波减速器产能缺口有望达千万台级.jpg	4	根据上一轮问题的答案，结合表格数据，2013年至2022E年期间，一台机器替换人工数量的变化趋势是什么？	持续增加	先增后减	波动变化	持续减少	D
sdt	34	data/figure/sdt/2022-12-20--通用设备-中大力德-公司首次覆盖报告：机器人运动执行部件制造的多面选手_page8_no_caption.jpg,data/figure/sdt/2022-12-20--通用设备-中大力德-公司首次覆盖报告：机器人运动执行部件制造的多面选手_page22_表10主营收入拆分百万元.jpg,data/figure/sdt/2022-12-20--通用设备-中大力德-公司首次覆盖报告：机器人运动执行部件制造的多面选手_page15_表5中观情境下谐波减速器产能缺口有望达千万台级.jpg	5	根据上一轮问题的答案，结合表格数据，2013年至2022E年期间，年折旧费用的变化趋势是什么？	持续下降	先增后减	波动变化	持续上升	A
sdt	35	data/figure/sdt/2022-12-20--商业百货-王府井-“有税+免税”共驱成长_page6_图表3王府井以商品销售和租金收入为主.jpg,data/figure/sdt/2022-12-20--商业百货-王府井-“有税+免税”共驱成长_page39_图表97公司营收测算汇总.jpg	1	根据图表3和图表97，百货的毛利率在2022H1为33.56%，请问以下哪个选项最能反映其原因？	百货的商品零售收入占比最高	百货的单店营收最低	百货的门店数量最少	百货的业务定位是压舱石	A
sdt	35	data/figure/sdt/2022-12-20--商业百货-王府井-“有税+免税”共驱成长_page6_图表3王府井以商品销售和租金收入为主.jpg,data/figure/sdt/2022-12-20--商业百货-王府井-“有税+免税”共驱成长_page39_图表97公司营收测算汇总.jpg	2	根据图表3和图表97，购物中心的毛利率在2022H1为49.03%，请问以下哪个选项最能反映其原因？	购物中心的商品零售收入占比最高	购物中心的单店营收最高	购物中心的门店数量最多	购物中心的业务定位是积极发展	B
sdt	35	data/figure/sdt/2022-12-20--商业百货-王府井-“有税+免税”共驱成长_page6_图表3王府井以商品销售和租金收入为主.jpg,data/figure/sdt/2022-12-20--商业百货-王府井-“有税+免税”共驱成长_page39_图表97公司营收测算汇总.jpg	3	根据图表3和图表97，超市的毛利率在2022H1为15.51%，请问以下哪个选项最能反映其原因？	超市的商品零售收入占比最高	超市的单店营收最低	超市的门店数量最多	超市的业务定位是稳中求进	B
sdt	35	data/figure/sdt/2022-12-20--商业百货-王府井-“有税+免税”共驱成长_page6_图表3王府井以商品销售和租金收入为主.jpg,data/figure/sdt/2022-12-20--商业百货-王府井-“有税+免税”共驱成长_page39_图表97公司营收测算汇总.jpg	4	根据图表3和图表97，免税的毛利率在2022H1为28.8%，请问以下哪个选项最能反映其原因？	免税的商品零售收入占比最高	免税的单店营收最高	免税的门店数量最少	免税的业务定位是做大做精	A
sdt	36	data/figure/sdt/2022-12-20--包装材料-昇兴股份-核心客户放量+产能持续提升，业绩有望快速释放_page5_no_caption.jpg,data/figure/sdt/2022-12-20--包装材料-昇兴股份-核心客户放量+产能持续提升，业绩有望快速释放_page13_表5公司部分三片罐产品.jpg	1	根据表格中的信息，以下哪个品牌是中国驰名商标？	惠尔康	银鹭	雷萨	六个核桃	A
sdt	36	data/figure/sdt/2022-12-20--包装材料-昇兴股份-核心客户放量+产能持续提升，业绩有望快速释放_page5_no_caption.jpg,data/figure/sdt/2022-12-20--包装材料-昇兴股份-核心客户放量+产能持续提升，业绩有望快速释放_page13_表5公司部分三片罐产品.jpg	2	根据表格中的信息，以下哪个品牌的主要产品是啤酒？	青岛啤酒股份有限公司	福建省燕京惠泉啤酒股份有限公司	天丝医药保健有限公司	北京乳旺食品有限公司	A
sdt	36	data/figure/sdt/2022-12-20--包装材料-昇兴股份-核心客户放量+产能持续提升，业绩有望快速释放_page5_no_caption.jpg,data/figure/sdt/2022-12-20--包装材料-昇兴股份-核心客户放量+产能持续提升，业绩有望快速释放_page13_表5公司部分三片罐产品.jpg	3	根据表格中的信息，以下哪个品牌的主要产品是凉茶饮料？	福建达利集团	北京乳旺食品有限公司	广州王老吉大健康产业有限公司	青岛啤酒股份有限公司	C
sdt	36	data/figure/sdt/2022-12-20--包装材料-昇兴股份-核心客户放量+产能持续提升，业绩有望快速释放_page5_no_caption.jpg,data/figure/sdt/2022-12-20--包装材料-昇兴股份-核心客户放量+产能持续提升，业绩有望快速释放_page13_表5公司部分三片罐产品.jpg	4	根据表格中的信息，以下哪个品牌的主要产品是红牛？	福建达利集团	北京乳旺食品有限公司	广州王老吉大健康产业有限公司	天丝医药保健有限公司	D
sdt	36	data/figure/sdt/2022-12-20--包装材料-昇兴股份-核心客户放量+产能持续提升，业绩有望快速释放_page5_no_caption.jpg,data/figure/sdt/2022-12-20--包装材料-昇兴股份-核心客户放量+产能持续提升，业绩有望快速释放_page13_表5公司部分三片罐产品.jpg	5	根据表格和图片中的信息，以下哪种罐型的产品主要用于盛装沙丁鱼罐头？	155g	430g	240ml-250ml	500ml（加强筋)	A
sdt	37	data/figure/sdt/2022-12-19--贵金属-赤峰黄金-高成长的优质黄金矿企_page24_表7员工持股计划的业绩考核及权益分配.jpg,data/figure/sdt/2022-12-19--贵金属-赤峰黄金-高成长的优质黄金矿企_page10_图10黄金供需平衡表单位吨.jpg	1	根据图片1，2021-2023年金产量累计需要达到多少吨才能满足员工持股计划的业绩考核？	43吨	45吨	47吨	49吨	A
sdt	37	data/figure/sdt/2022-12-19--贵金属-赤峰黄金-高成长的优质黄金矿企_page24_表7员工持股计划的业绩考核及权益分配.jpg,data/figure/sdt/2022-12-19--贵金属-赤峰黄金-高成长的优质黄金矿企_page10_图10黄金供需平衡表单位吨.jpg	2	根据图片1和图片2，如果公司2021-2023年金产量累计未达到43吨，那么返还情况是什么？	未分配标的股票权益均不得分配，管理委员会按照持有人出资金额返还个人，剩余资金归属于公司。	未分配标的股票权益均不得分配，管理委员会按照持有人出资金额返还个人，剩余资金（如有）归属于公司.	未分配标的股票权益为偿还定向计划融资资本息后剩余标的股票权益总额的50%.	未分配标的股票权益为偿还定向计划融资资本息后剩余标的股票权益总额的100%.	B
sdt	37	data/figure/sdt/2022-12-19--贵金属-赤峰黄金-高成长的优质黄金矿企_page24_表7员工持股计划的业绩考核及权益分配.jpg,data/figure/sdt/2022-12-19--贵金属-赤峰黄金-高成长的优质黄金矿企_page10_图10黄金供需平衡表单位吨.jpg	3	根据图片1和图片2，如果公司2021-2023年金产量累计低于43吨但不低于24吨，那么返还情况是什么？	未分配标的股票权益均不得分配，管理委员会按照持有人出资金额返还个人，剩余资金归属于公司.	未分配标的股票权益均不得分配，管理委员会按照持有人出资金额返还个人，剩余资金（如有）归属于公司.	未分配标的股票权益为偿还定向计划融资资本息后剩余标的股票权益总额的50%.	未分配标的股票权益为偿还定向计划融资资本息后剩余标的股票权益总额的100%.	C
sdt	37	data/figure/sdt/2022-12-19--贵金属-赤峰黄金-高成长的优质黄金矿企_page24_表7员工持股计划的业绩考核及权益分配.jpg,data/figure/sdt/2022-12-19--贵金属-赤峰黄金-高成长的优质黄金矿企_page10_图10黄金供需平衡表单位吨.jpg	4	根据图片1和图片2，如果公司2021-2023年金产量累计高于43吨，那么返还情况是什么？	未分配标的股票权益均不得分配，管理委员会按照持有人出资金额返还个人，剩余资金归属于公司.	未分配标的股票权益均不得分配，管理委员会按照持有人出资金额返还个人，剩余资金（如有）归属于公司.	未分配标的股票权益为偿还定向计划融资资本息后剩余标的股票权益总额的50%.	未分配标的股票权益为偿还定向计划融资资本息后剩余标的股票权益总额的100%.	D
sdt	38	data/figure/sdt/2022-12-18--非金属材料-索通发展-强α品种，预焙阳极行业龙头升级循环经济领军者_page21_表7公司分业务收入预测亿元.jpg,data/figure/sdt/2022-12-18--非金属材料-索通发展-强α品种，预焙阳极行业龙头升级循环经济领军者_page17_表520202021年欣源股份前五大客户及收入占比万元.jpg,data/figure/sdt/2022-12-18--非金属材料-索通发展-强α品种，预焙阳极行业龙头升级循环经济领军者_page11_表1公司在手的预焙阳极现有及规划产能情况万吨.jpg	1	根据表格1，2021A年预焙阳极的毛利率是多少？	155.50%	a99.51%	c25.79%	d22.36%	A
sdt	38	data/figure/sdt/2022-12-18--非金属材料-索通发展-强α品种，预焙阳极行业龙头升级循环经济领军者_page21_表7公司分业务收入预测亿元.jpg,data/figure/sdt/2022-12-18--非金属材料-索通发展-强α品种，预焙阳极行业龙头升级循环经济领军者_page17_表520202021年欣源股份前五大客户及收入占比万元.jpg,data/figure/sdt/2022-12-18--非金属材料-索通发展-强α品种，预焙阳极行业龙头升级循环经济领军者_page11_表1公司在手的预焙阳极现有及规划产能情况万吨.jpg	2	根据表格1和表格2，2021年欣源股份前五大客户中占比收入最高的客户是哪个？	a贝特瑞	b杉杉控股	c美的集团	d格力电器	A
sdt	38	data/figure/sdt/2022-12-18--非金属材料-索通发展-强α品种，预焙阳极行业龙头升级循环经济领军者_page21_表7公司分业务收入预测亿元.jpg,data/figure/sdt/2022-12-18--非金属材料-索通发展-强α品种，预焙阳极行业龙头升级循环经济领军者_page17_表520202021年欣源股份前五大客户及收入占比万元.jpg,data/figure/sdt/2022-12-18--非金属材料-索通发展-强α品种，预焙阳极行业龙头升级循环经济领军者_page11_表1公司在手的预焙阳极现有及规划产能情况万吨.jpg	3	根据表格1和表格2，2021年欣源股份前五大客户中占比收入最低的客户是哪个？	a贝特瑞	b杉杉控股	c美的集团	d生益进出口	D
sdt	38	data/figure/sdt/2022-12-18--非金属材料-索通发展-强α品种，预焙阳极行业龙头升级循环经济领军者_page21_表7公司分业务收入预测亿元.jpg,data/figure/sdt/2022-12-18--非金属材料-索通发展-强α品种，预焙阳极行业龙头升级循环经济领军者_page17_表520202021年欣源股份前五大客户及收入占比万元.jpg,data/figure/sdt/2022-12-18--非金属材料-索通发展-强α品种，预焙阳极行业龙头升级循环经济领军者_page11_表1公司在手的预焙阳极现有及规划产能情况万吨.jpg	4	根据表格1和表格2，2021年欣源股份前五大客户中占比收入最高的客户在2020年的销售产品是什么？	a石墨负极材料及服务	b薄膜电容器	c石墨负极材料及服务	d薄膜电容器	B
sdt	38	data/figure/sdt/2022-12-18--非金属材料-索通发展-强α品种，预焙阳极行业龙头升级循环经济领军者_page21_表7公司分业务收入预测亿元.jpg,data/figure/sdt/2022-12-18--非金属材料-索通发展-强α品种，预焙阳极行业龙头升级循环经济领军者_page17_表520202021年欣源股份前五大客户及收入占比万元.jpg,data/figure/sdt/2022-12-18--非金属材料-索通发展-强α品种，预焙阳极行业龙头升级循环经济领军者_page11_表1公司在手的预焙阳极现有及规划产能情况万吨.jpg	5	根据表格1和表格2，2021年欣源股份前五大客户中占比收入最低的客户在2020年的销售产品是什么？	a石墨负极材料及服务	b薄膜电容器	c石墨负极材料及服务	d薄膜电容器	A
sdt	38	data/figure/sdt/2022-12-18--非金属材料-索通发展-强α品种，预焙阳极行业龙头升级循环经济领军者_page21_表7公司分业务收入预测亿元.jpg,data/figure/sdt/2022-12-18--非金属材料-索通发展-强α品种，预焙阳极行业龙头升级循环经济领军者_page17_表520202021年欣源股份前五大客户及收入占比万元.jpg,data/figure/sdt/2022-12-18--非金属材料-索通发展-强α品种，预焙阳极行业龙头升级循环经济领军者_page11_表1公司在手的预焙阳极现有及规划产能情况万吨.jpg	6	根据表格1、表格2和表格3，2021年欣源股份前五大客户中占比收入最高的客户在2021年的销售产品与2020年的销售产品是否相同？	a是	b否	c不确定	d无法判断	A
sdt	39	data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page7_图1万华化学股价元.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page25_表9国内TDI装置动态2022年11月.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page20_表8全球MDI装置动态2022年11月.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page19_表7山东和浙江地区纯MDI出口量万吨.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page19_表6山东和浙江地区聚合MDI出口量万吨.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page18_表5山东和浙江地区MDI月度产量万吨.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page15_表3万华化学各板块投资额及预计营收统计亿元.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page14_no_caption.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page13_no_caption.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page12_no_caption.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page11_表2万华化学11月新项目进展.jpg	1	根据公告内容，万华化学在中国地区的MDI挂牌价比11月份下调了多少元/吨？	1000元/吨	2000元/吨	3000元/吨	5000元/吨	C
sdt	39	data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page7_图1万华化学股价元.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page25_表9国内TDI装置动态2022年11月.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page20_表8全球MDI装置动态2022年11月.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page19_表7山东和浙江地区纯MDI出口量万吨.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page19_表6山东和浙江地区聚合MDI出口量万吨.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page18_表5山东和浙江地区MDI月度产量万吨.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page15_表3万华化学各板块投资额及预计营收统计亿元.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page14_no_caption.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page13_no_caption.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page12_no_caption.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page11_表2万华化学11月新项目进展.jpg	2	根据骨干员工跟投管理办法，万华化学对哪些业务进行跟投管理？	所有业务	符合公司战略发展方向的投资项目	所有投资项目	所有业务均不适用	
sdt	39	data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page7_图1万华化学股价元.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page25_表9国内TDI装置动态2022年11月.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page20_表8全球MDI装置动态2022年11月.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page19_表7山东和浙江地区纯MDI出口量万吨.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page19_表6山东和浙江地区聚合MDI出口量万吨.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page18_表5山东和浙江地区MDI月度产量万吨.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page15_表3万华化学各板块投资额及预计营收统计亿元.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page14_no_caption.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page13_no_caption.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page12_no_caption.jpg,data/figure/sdt/2022-12-18--化学制品-万华化学-公司动态研究：万华化学2022年11月月报：发布骨干员工跟投管理办法，拟建1.5万吨薄荷脑装置_page11_表2万华化学11月新项目进展.jpg	3	根据表格数据，上海巴斯夫的液相光气法生产装置在本月的开工情况是什么？	高负荷运行	满负荷平稳运行	停车中	低负荷运行	
sdt	40	data/figure/sdt/2022-12-16--食品饮料-紫燕食品-公司深度报告：佐餐卤味领头羊，开启全国化扩张_page26_图表66公司产品历年提价情况元千克.jpg,data/figure/sdt/2022-12-16--食品饮料-紫燕食品-公司深度报告：佐餐卤味领头羊，开启全国化扩张_page26_图表65公司主要产品出厂价变化情况元千克.jpg	1	根据图表66和图表65，2019年4月夫妻肺片的提价前价格是多少？	98.80元	106.3元	110.8元	101.8元	A
sdt	40	data/figure/sdt/2022-12-16--食品饮料-紫燕食品-公司深度报告：佐餐卤味领头羊，开启全国化扩张_page26_图表66公司产品历年提价情况元千克.jpg,data/figure/sdt/2022-12-16--食品饮料-紫燕食品-公司深度报告：佐餐卤味领头羊，开启全国化扩张_page26_图表65公司主要产品出厂价变化情况元千克.jpg	2	根据图表66和图表65，2019年4月夫妻肺片的提价后价格是多少？	110.8元	110.8元/106.3元	106.3元	101.8元/93.8元	B
