index	image	information	round	question	answer
13	data/figure/L3Q3_4/图片20.jpg	甲公司是乙集团的全资子公司，专门从事电子元器件生产制造和销售。乙集团根据战略安排，拟于 2022 年末在甲公司建设一条新产品生产线，但甲公司对此持有异议。为此，乙集团开展专项研究以厘清问题症结所在。相关资料如下：资料一：甲公司考核指标及其目标值。乙集团采用税后经营净利润和净经营资产净利率两个关键绩效指标，对子公司进行业绩考核，实施指标逐年递增且“一票否决”的考评制度，即任何一项未满足要求，该子公司考核结果就为不合格。乙集团对甲公司 2022 年和 2023 年设定的考核目标如图。注：财务指标涉及平均值的，均以年末余额代替全年平均水平。资料二：甲公司 2022 年相关财务数据。甲公司管理用财务报表中列示，2022 年末净经营资产8000 万元，净负债 4000 万元，2022 年税前经营利润 3400 万元。资料三：项目投资相关信息。新产品生产线可在 2022 年末投产，无建设期，经营期限 5 年。初始投资额 3000 万元，全部形成固定资产；根据税法相关规定，按直线法计提折旧，折旧年限 5 年，净残值率 10%；5 年后变现价值预计200 万元。投产 2 年后须进行大修，2024 年末支付大修费用 200 万元。大修支出可在所得税前列支。会计处理与税法一致。新生产线年销售收入 2800 万元，经营期付现成本前两年为每年 1600 万元，后三年可降至每年1400万元。2022 年末需一次性投入营运资本 400 万元，经营期满全部收回。假设各年营业现金流量均发生在当年年末。新项目投产不影响甲公司原项目的正常运营，原项目创造的税前经营利润在未来 5 年保持 2022 年水平不变。资料四：项目融资相关信息。甲公司目前资本结构为目标资本结构，乙集团继续按该资本结构进行项目融资（净经营资产/净负债＝2/1），预计债务税后资本成本保持 5.6%不变。为确定项目股权资本成本，乙集团将处于同行业的丙上市公司作为项目可比公司。2022 年末，丙公司净经营资产 50000 万元，股东权益 30000 万元；股权资本成本为 11%，β系数为 2.1。市场风险溢价为 4%。企业所得税税率为 25%。	1	计算甲公司 2022 年税后经营净利润。	2550
13	data/figure/L3Q3_4/图片20.jpg	甲公司是乙集团的全资子公司，专门从事电子元器件生产制造和销售。乙集团根据战略安排，拟于 2022 年末在甲公司建设一条新产品生产线，但甲公司对此持有异议。为此，乙集团开展专项研究以厘清问题症结所在。相关资料如下：资料一：甲公司考核指标及其目标值。乙集团采用税后经营净利润和净经营资产净利率两个关键绩效指标，对子公司进行业绩考核，实施指标逐年递增且“一票否决”的考评制度，即任何一项未满足要求，该子公司考核结果就为不合格。乙集团对甲公司 2022 年和 2023 年设定的考核目标如图。注：财务指标涉及平均值的，均以年末余额代替全年平均水平。资料二：甲公司 2022 年相关财务数据。甲公司管理用财务报表中列示，2022 年末净经营资产8000 万元，净负债 4000 万元，2022 年税前经营利润 3400 万元。资料三：项目投资相关信息。新产品生产线可在 2022 年末投产，无建设期，经营期限 5 年。初始投资额 3000 万元，全部形成固定资产；根据税法相关规定，按直线法计提折旧，折旧年限 5 年，净残值率 10%；5 年后变现价值预计200 万元。投产 2 年后须进行大修，2024 年末支付大修费用 200 万元。大修支出可在所得税前列支。会计处理与税法一致。新生产线年销售收入 2800 万元，经营期付现成本前两年为每年 1600 万元，后三年可降至每年1400万元。2022 年末需一次性投入营运资本 400 万元，经营期满全部收回。假设各年营业现金流量均发生在当年年末。新项目投产不影响甲公司原项目的正常运营，原项目创造的税前经营利润在未来 5 年保持 2022 年水平不变。资料四：项目融资相关信息。甲公司目前资本结构为目标资本结构，乙集团继续按该资本结构进行项目融资（净经营资产/净负债＝2/1），预计债务税后资本成本保持 5.6%不变。为确定项目股权资本成本，乙集团将处于同行业的丙上市公司作为项目可比公司。2022 年末，丙公司净经营资产 50000 万元，股东权益 30000 万元；股权资本成本为 11%，β系数为 2.1。市场风险溢价为 4%。企业所得税税率为 25%。	2	计算甲公司 2022 年净经营资产净利率。	0.3188
13	data/figure/L3Q3_4/图片20.jpg	甲公司是乙集团的全资子公司，专门从事电子元器件生产制造和销售。乙集团根据战略安排，拟于 2022 年末在甲公司建设一条新产品生产线，但甲公司对此持有异议。为此，乙集团开展专项研究以厘清问题症结所在。相关资料如下：资料一：甲公司考核指标及其目标值。乙集团采用税后经营净利润和净经营资产净利率两个关键绩效指标，对子公司进行业绩考核，实施指标逐年递增且“一票否决”的考评制度，即任何一项未满足要求，该子公司考核结果就为不合格。乙集团对甲公司 2022 年和 2023 年设定的考核目标如图。注：财务指标涉及平均值的，均以年末余额代替全年平均水平。资料二：甲公司 2022 年相关财务数据。甲公司管理用财务报表中列示，2022 年末净经营资产8000 万元，净负债 4000 万元，2022 年税前经营利润 3400 万元。资料三：项目投资相关信息。新产品生产线可在 2022 年末投产，无建设期，经营期限 5 年。初始投资额 3000 万元，全部形成固定资产；根据税法相关规定，按直线法计提折旧，折旧年限 5 年，净残值率 10%；5 年后变现价值预计200 万元。投产 2 年后须进行大修，2024 年末支付大修费用 200 万元。大修支出可在所得税前列支。会计处理与税法一致。新生产线年销售收入 2800 万元，经营期付现成本前两年为每年 1600 万元，后三年可降至每年1400万元。2022 年末需一次性投入营运资本 400 万元，经营期满全部收回。假设各年营业现金流量均发生在当年年末。新项目投产不影响甲公司原项目的正常运营，原项目创造的税前经营利润在未来 5 年保持 2022 年水平不变。资料四：项目融资相关信息。甲公司目前资本结构为目标资本结构，乙集团继续按该资本结构进行项目融资（净经营资产/净负债＝2/1），预计债务税后资本成本保持 5.6%不变。为确定项目股权资本成本，乙集团将处于同行业的丙上市公司作为项目可比公司。2022 年末，丙公司净经营资产 50000 万元，股东权益 30000 万元；股权资本成本为 11%，β系数为 2.1。市场风险溢价为 4%。企业所得税税率为 25%。	3	计算甲公司新项目权益资本成本。	0.09
13	data/figure/L3Q3_4/图片20.jpg	甲公司是乙集团的全资子公司，专门从事电子元器件生产制造和销售。乙集团根据战略安排，拟于 2022 年末在甲公司建设一条新产品生产线，但甲公司对此持有异议。为此，乙集团开展专项研究以厘清问题症结所在。相关资料如下：资料一：甲公司考核指标及其目标值。乙集团采用税后经营净利润和净经营资产净利率两个关键绩效指标，对子公司进行业绩考核，实施指标逐年递增且“一票否决”的考评制度，即任何一项未满足要求，该子公司考核结果就为不合格。乙集团对甲公司 2022 年和 2023 年设定的考核目标如图。注：财务指标涉及平均值的，均以年末余额代替全年平均水平。资料二：甲公司 2022 年相关财务数据。甲公司管理用财务报表中列示，2022 年末净经营资产8000 万元，净负债 4000 万元，2022 年税前经营利润 3400 万元。资料三：项目投资相关信息。新产品生产线可在 2022 年末投产，无建设期，经营期限 5 年。初始投资额 3000 万元，全部形成固定资产；根据税法相关规定，按直线法计提折旧，折旧年限 5 年，净残值率 10%；5 年后变现价值预计200 万元。投产 2 年后须进行大修，2024 年末支付大修费用 200 万元。大修支出可在所得税前列支。会计处理与税法一致。新生产线年销售收入 2800 万元，经营期付现成本前两年为每年 1600 万元，后三年可降至每年1400万元。2022 年末需一次性投入营运资本 400 万元，经营期满全部收回。假设各年营业现金流量均发生在当年年末。新项目投产不影响甲公司原项目的正常运营，原项目创造的税前经营利润在未来 5 年保持 2022 年水平不变。资料四：项目融资相关信息。甲公司目前资本结构为目标资本结构，乙集团继续按该资本结构进行项目融资（净经营资产/净负债＝2/1），预计债务税后资本成本保持 5.6%不变。为确定项目股权资本成本，乙集团将处于同行业的丙上市公司作为项目可比公司。2022 年末，丙公司净经营资产 50000 万元，股东权益 30000 万元；股权资本成本为 11%，β系数为 2.1。市场风险溢价为 4%。企业所得税税率为 25%。	4	假设甲公司投资该项目，且 2023 年末甲公司进行利润分配后预计净经营资产为 11000 万元，计算 2023 年甲公司税后经营净利润。	3045
14	data/figure/L3Q3_4/图片21.jpg	甲公司目前生产 A、B 两种产品，需要使用同一台机器设备，该设备每月提供的最大加工时间 10 000 分钟，固定制造费用总额 140 000 元。相关资料如图。2021 年 8 月末，甲公司预计未来每月正常市场需求可达 A 产品 900 件、B 产品 350 件。	1	为最优利用该机器设备获得最大利润,公司每月应生产 A产品多少件？	580
14	data/figure/L3Q3_4/图片21.jpg	甲公司目前生产 A、B 两种产品，需要使用同一台机器设备，该设备每月提供的最大加工时间 10 000 分钟，固定制造费用总额 140 000 元。相关资料如图。2021 年 8 月末，甲公司预计未来每月正常市场需求可达 A 产品 900 件、B 产品 350 件。	2	为满足正常市场需求，在充分利用现有机器设备产能基础上，甲公司追加一台机器设备，每月可增加机器工时 7 000 分钟。若追加设备的相关成本 120 000 元，剩余生产能力无法转移，计算追加设备对公司税前经营利润的影响。	200000
14	data/figure/L3Q3_4/图片21.jpg	甲公司目前生产 A、B 两种产品，需要使用同一台机器设备，该设备每月提供的最大加工时间 10 000 分钟，固定制造费用总额 140 000 元。相关资料如图。2021 年 8 月末，甲公司预计未来每月正常市场需求可达 A 产品 900 件、B 产品 350 件。	3	在甲公司追加产能的前提下，如果在正常市场需求外甲公司拟参加客户丙的一项招标：丙订购 A 产品 360 件，1 个月交货。甲公司使用成本加成定价法制定投标价格，在成本基础上的总加成额 72 000 元。若机器设备剩余生产能力无法转移，计算甲公司投标的最低单价。	2200
15	data/figure/L3Q3_4/图片22.jpg	甲上市公司是一家电气设备制造企业，目前正处在高速增长期。为判断公司股票是否被低估，正进行价值评估。相关资料如下：(1)甲公司 2021 年末行在外普通股 5 亿股，每股市价 100 元，没有优先股。未来不打算增发和回购股票。2021 年相关报表项目如图。货币资金全部为经营活动所需，其他应收款、其他应付款均为经营活动产生，财务费用均为利息费用，2021 年没有资本化利息支出。企业所得税税率 25%。(2)甲公司预测 2022 年、2023 年营业收增长率 20%，2024 年及以后保持 6%的永续增长；税后经营净利率、净经营资产周转次数、净财务杠杆和净负债利息率一直维持 2021 年水平不变。(3)甲公司普通股资本成本 12%。(4)可比公司乙公司 2021 年每股收益 1 元，2021 年末每股市价 15 元。为简化计算，财务指标涉及平均值的，均以年末余额替代全年平均水平。	1	计算公司 2021 年股收益。	6
15	data/figure/L3Q3_4/图片22.jpg	甲上市公司是一家电气设备制造企业，目前正处在高速增长期。为判断公司股票是否被低估，正进行价值评估。相关资料如下：(1)甲公司 2021 年末行在外普通股 5 亿股，每股市价 100 元，没有优先股。未来不打算增发和回购股票。2021 年相关报表项目如图。货币资金全部为经营活动所需，其他应收款、其他应付款均为经营活动产生，财务费用均为利息费用，2021 年没有资本化利息支出。企业所得税税率 25%。(2)甲公司预测 2022 年、2023 年营业收增长率 20%，2024 年及以后保持 6%的永续增长；税后经营净利率、净经营资产周转次数、净财务杠杆和净负债利息率一直维持 2021 年水平不变。(3)甲公司普通股资本成本 12%。(4)可比公司乙公司 2021 年每股收益 1 元，2021 年末每股市价 15 元。为简化计算，财务指标涉及平均值的，均以年末余额替代全年平均水平。	2	用市盈率模型估算 2021 年末甲公司股权价值。	90
15	data/figure/L3Q3_4/图片22.jpg	甲上市公司是一家电气设备制造企业，目前正处在高速增长期。为判断公司股票是否被低估，正进行价值评估。相关资料如下：(1)甲公司 2021 年末行在外普通股 5 亿股，每股市价 100 元，没有优先股。未来不打算增发和回购股票。2021 年相关报表项目如图。货币资金全部为经营活动所需，其他应收款、其他应付款均为经营活动产生，财务费用均为利息费用，2021 年没有资本化利息支出。企业所得税税率 25%。(2)甲公司预测 2022 年、2023 年营业收增长率 20%，2024 年及以后保持 6%的永续增长；税后经营净利率、净经营资产周转次数、净财务杠杆和净负债利息率一直维持 2021 年水平不变。(3)甲公司普通股资本成本 12%。(4)可比公司乙公司 2021 年每股收益 1 元，2021 年末每股市价 15 元。为简化计算，财务指标涉及平均值的，均以年末余额替代全年平均水平。	3	用股权现金流量折现模型估算 2021 年末甲公司每股股权价值。	105.25 
16	data/figure/L3Q3_4/图片23.jpg	甲公司拟承包乙集团投资开发的主题公园中的游乐场，承包期限 5 年，承包时一次性支付经营权使用费 25000 万元，按承包年限平均分摊；承包期内每年上交 5000 万元承包费，并且每年按其年收入的 10%向乙集团支付管理费。甲公司目前正在进行 2021 年盈亏平衡分析。相关资料如下：（1）游乐场售卖两种门票，均当时当次有效。票价如图：（2）2021 年预计门票售卖情况：游乐场门票 500 万张，联票 400 万张，假设各类已售门票中，普通票和优惠票的比例均为 40%:60%。（3）联票收入甲、乙分享，各占 50%。（4）物业费为固定费用，2021 年甲公司支付游乐场物业费 10286 万元。（5）假设不考虑企业所得税。	1	计算游乐场 2021 年边际贡献总额。	289800000
16	data/figure/L3Q3_4/图片23.jpg	甲公司拟承包乙集团投资开发的主题公园中的游乐场，承包期限 5 年，承包时一次性支付经营权使用费 25000 万元，按承包年限平均分摊；承包期内每年上交 5000 万元承包费，并且每年按其年收入的 10%向乙集团支付管理费。甲公司目前正在进行 2021 年盈亏平衡分析。相关资料如下：（1）游乐场售卖两种门票，均当时当次有效。票价如图：（2）2021 年预计门票售卖情况：游乐场门票 500 万张，联票 400 万张，假设各类已售门票中，普通票和优惠票的比例均为 40%:60%。（3）联票收入甲、乙分享，各占 50%。（4）物业费为固定费用，2021 年甲公司支付游乐场物业费 10286 万元。（5）假设不考虑企业所得税。	2	计算游乐场 2021 年营业利润。	86940000
16	data/figure/L3Q3_4/图片23.jpg	甲公司拟承包乙集团投资开发的主题公园中的游乐场，承包期限 5 年，承包时一次性支付经营权使用费 25000 万元，按承包年限平均分摊；承包期内每年上交 5000 万元承包费，并且每年按其年收入的 10%向乙集团支付管理费。甲公司目前正在进行 2021 年盈亏平衡分析。相关资料如下：（1）游乐场售卖两种门票，均当时当次有效。票价如图：（2）2021 年预计门票售卖情况：游乐场门票 500 万张，联票 400 万张，假设各类已售门票中，普通票和优惠票的比例均为 40%:60%。（3）联票收入甲、乙分享，各占 50%。（4）物业费为固定费用，2021 年甲公司支付游乐场物业费 10286 万元。（5）假设不考虑企业所得税。	3	计算游乐场 2021 年安全边际率。	0.3
16	data/figure/L3Q3_4/图片23.jpg	甲公司拟承包乙集团投资开发的主题公园中的游乐场，承包期限 5 年，承包时一次性支付经营权使用费 25000 万元，按承包年限平均分摊；承包期内每年上交 5000 万元承包费，并且每年按其年收入的 10%向乙集团支付管理费。甲公司目前正在进行 2021 年盈亏平衡分析。相关资料如下：（1）游乐场售卖两种门票，均当时当次有效。票价如图：（2）2021 年预计门票售卖情况：游乐场门票 500 万张，联票 400 万张，假设各类已售门票中，普通票和优惠票的比例均为 40%:60%。（3）联票收入甲、乙分享，各占 50%。（4）物业费为固定费用，2021 年甲公司支付游乐场物业费 10286 万元。（5）假设不考虑企业所得税。	4	计算游乐场 2021 年平均每人次边际贡献。	32.20 
16	data/figure/L3Q3_4/图片23.jpg	甲公司拟承包乙集团投资开发的主题公园中的游乐场，承包期限 5 年，承包时一次性支付经营权使用费 25000 万元，按承包年限平均分摊；承包期内每年上交 5000 万元承包费，并且每年按其年收入的 10%向乙集团支付管理费。甲公司目前正在进行 2021 年盈亏平衡分析。相关资料如下：（1）游乐场售卖两种门票，均当时当次有效。票价如图：（2）2021 年预计门票售卖情况：游乐场门票 500 万张，联票 400 万张，假设各类已售门票中，普通票和优惠票的比例均为 40%:60%。（3）联票收入甲、乙分享，各占 50%。（4）物业费为固定费用，2021 年甲公司支付游乐场物业费 10286 万元。（5）假设不考虑企业所得税。	5	如果甲公司计划 2021 年实现营业利润 10000 万元，拟将游乐场普通票提价至 70 元，其他票价不变，联票销售预计增长 50%。假设其他条件不变，计算至少需要售卖多少万张游乐场门票才能实现目标利润。	3663300
17	data/figure/L3Q3_4/图片24.jpg,data/figure/L3Q3_4/图片25.jpg	甲公司是一家制造业上市公司。目前公司股票每股 45 元，预计股份未来增长率 8%；长期借款合同中保护性条款约定甲公司长期资本负债率不可高于 50%、利息保障倍数不可低于 5 倍。为占领市场并优化资本结构,公司拟于 2019 未发行附认股权证债券筹资 20000万元。为确定筹资方案是否可行，收集资料如图：资料一：甲公司 2019年预计财务报表主要数据如图1。甲公司 2019 年财务费用均为利息费用,资本化利息 200 万元。资料二:筹资方案。甲公司拟平价发行附认股权证债券,面值 1000 元,票面利率 6%,期限 10 年,每年末付息一次,到期还本。每份债券附送 20 张认股权证,认股权证 5 年后到期,在到期前每张认股权证可按 60 元的价格购买 1 股普通股。不考虑发行成本等其他费用。资料三:甲公司尚无上市债券,也找不到合适的可比公司。评级机构评定甲公司的信用级别为 AA 级。目前上市交易的同行业其他公司债券及与之到期日相近的政府债券信息如图2。甲公司股票目前β系数 1.5，市场风险溢价 4%，企业所得税税率 25%，假设公司所筹资金全部用于购置资产，资本结构以长期资本账面价值计算权重。资料四：如果甲公司按筹资方案发债，预计 2020 年营业收入比 2019 年增长 20%，财务费用在 2019 年财务费用基础上增加新发债券利息，资本化利息保持不变，企业应纳税所得额为利润总额,营业净利率保持2019 年水平不变，不分配现金股利。	1	根据资料一，计算筹资前长期资本负债率。	40%
17	data/figure/L3Q3_4/图片24.jpg,data/figure/L3Q3_4/图片25.jpg	甲公司是一家制造业上市公司。目前公司股票每股 45 元，预计股份未来增长率 8%；长期借款合同中保护性条款约定甲公司长期资本负债率不可高于 50%、利息保障倍数不可低于 5 倍。为占领市场并优化资本结构,公司拟于 2019 未发行附认股权证债券筹资 20000万元。为确定筹资方案是否可行，收集资料如图：资料一：甲公司 2019年预计财务报表主要数据如图1。甲公司 2019 年财务费用均为利息费用,资本化利息 200 万元。资料二:筹资方案。甲公司拟平价发行附认股权证债券,面值 1000 元,票面利率 6%,期限 10 年,每年末付息一次,到期还本。每份债券附送 20 张认股权证,认股权证 5 年后到期,在到期前每张认股权证可按 60 元的价格购买 1 股普通股。不考虑发行成本等其他费用。资料三:甲公司尚无上市债券,也找不到合适的可比公司。评级机构评定甲公司的信用级别为 AA 级。目前上市交易的同行业其他公司债券及与之到期日相近的政府债券信息如图2。甲公司股票目前β系数 1.5，市场风险溢价 4%，企业所得税税率 25%，假设公司所筹资金全部用于购置资产，资本结构以长期资本账面价值计算权重。资料四：如果甲公司按筹资方案发债，预计 2020 年营业收入比 2019 年增长 20%，财务费用在 2019 年财务费用基础上增加新发债券利息，资本化利息保持不变，企业应纳税所得额为利润总额,营业净利率保持2019 年水平不变，不分配现金股利。	2	根据资料一，计算利息保障倍数。	6.36
17	data/figure/L3Q3_4/图片24.jpg,data/figure/L3Q3_4/图片25.jpg	甲公司是一家制造业上市公司。目前公司股票每股 45 元，预计股份未来增长率 8%；长期借款合同中保护性条款约定甲公司长期资本负债率不可高于 50%、利息保障倍数不可低于 5 倍。为占领市场并优化资本结构,公司拟于 2019 未发行附认股权证债券筹资 20000万元。为确定筹资方案是否可行，收集资料如图：资料一：甲公司 2019年预计财务报表主要数据如图1。甲公司 2019 年财务费用均为利息费用,资本化利息 200 万元。资料二:筹资方案。甲公司拟平价发行附认股权证债券,面值 1000 元,票面利率 6%,期限 10 年,每年末付息一次,到期还本。每份债券附送 20 张认股权证,认股权证 5 年后到期,在到期前每张认股权证可按 60 元的价格购买 1 股普通股。不考虑发行成本等其他费用。资料三:甲公司尚无上市债券,也找不到合适的可比公司。评级机构评定甲公司的信用级别为 AA 级。目前上市交易的同行业其他公司债券及与之到期日相近的政府债券信息如图2。甲公司股票目前β系数 1.5，市场风险溢价 4%，企业所得税税率 25%，假设公司所筹资金全部用于购置资产，资本结构以长期资本账面价值计算权重。资料四：如果甲公司按筹资方案发债，预计 2020 年营业收入比 2019 年增长 20%，财务费用在 2019 年财务费用基础上增加新发债券利息，资本化利息保持不变，企业应纳税所得额为利润总额,营业净利率保持2019 年水平不变，不分配现金股利。	3	根据资料二，计算发行附认股权证债券的资本成本。	7.25%（答案在 7.24%~7.26%之间，均正确）
17	data/figure/L3Q3_4/图片24.jpg,data/figure/L3Q3_4/图片25.jpg	甲公司是一家制造业上市公司。目前公司股票每股 45 元，预计股份未来增长率 8%；长期借款合同中保护性条款约定甲公司长期资本负债率不可高于 50%、利息保障倍数不可低于 5 倍。为占领市场并优化资本结构,公司拟于 2019 未发行附认股权证债券筹资 20000万元。为确定筹资方案是否可行，收集资料如图：资料一：甲公司 2019年预计财务报表主要数据如图1。甲公司 2019 年财务费用均为利息费用,资本化利息 200 万元。资料二:筹资方案。甲公司拟平价发行附认股权证债券,面值 1000 元,票面利率 6%,期限 10 年,每年末付息一次,到期还本。每份债券附送 20 张认股权证,认股权证 5 年后到期,在到期前每张认股权证可按 60 元的价格购买 1 股普通股。不考虑发行成本等其他费用。资料三:甲公司尚无上市债券,也找不到合适的可比公司。评级机构评定甲公司的信用级别为 AA 级。目前上市交易的同行业其他公司债券及与之到期日相近的政府债券信息如图2。甲公司股票目前β系数 1.5，市场风险溢价 4%，企业所得税税率 25%，假设公司所筹资金全部用于购置资产，资本结构以长期资本账面价值计算权重。资料四：如果甲公司按筹资方案发债，预计 2020 年营业收入比 2019 年增长 20%，财务费用在 2019 年财务费用基础上增加新发债券利息，资本化利息保持不变，企业应纳税所得额为利润总额,营业净利率保持2019 年水平不变，不分配现金股利。	4	根据资料四，计算筹资方案执行后 2020 年末长期资本负债率。	45.87%
18	data/figure/L3Q3_4/图片26.jpg,data/figure/L3Q3_4/图片27.jpg	甲公司是一家动力电池生产企业，拟采用管理用财务报表进行财务分析。相关资料如下：（1）甲公司 2018 年主要财务报表数据如图1。（2）甲公司货币资金全部为经营活动所需，财务费用全部为利息支出。甲公司的企业所得税税率25%。（3）乙公司是甲公司的竞争对手，2018 年相关财务比率如图2。	1	计算甲公司的净经营资产净利率（注：资产负债表相关数据用年末数计算）。	21% 
18	data/figure/L3Q3_4/图片26.jpg,data/figure/L3Q3_4/图片27.jpg	甲公司是一家动力电池生产企业，拟采用管理用财务报表进行财务分析。相关资料如下：（1）甲公司 2018 年主要财务报表数据如图1。（2）甲公司货币资金全部为经营活动所需，财务费用全部为利息支出。甲公司的企业所得税税率25%。（3）乙公司是甲公司的竞争对手，2018 年相关财务比率如图2。	2	计算甲公司的净税后利息率（注：资产负债表相关数据用年末数计算）。	0.06
18	data/figure/L3Q3_4/图片26.jpg,data/figure/L3Q3_4/图片27.jpg	甲公司是一家动力电池生产企业，拟采用管理用财务报表进行财务分析。相关资料如下：（1）甲公司 2018 年主要财务报表数据如图1。（2）甲公司货币资金全部为经营活动所需，财务费用全部为利息支出。甲公司的企业所得税税率25%。（3）乙公司是甲公司的竞争对手，2018 年相关财务比率如图2。	3	计算甲公司与乙公司权益净利率的差异。	-1.9%
19	data/figure/L3Q3_4/图片28.jpg	甲公司是一家制造业上市公司，生产 A、B、C 三种产品。最近几年，市场需求旺盛，公司正在考虑通过筹资扩大产能。2018 年，公司长期债务 10 000 万元，年利率 6%；流通在外普通股 1000 万股，每股面值 1 元；无优先股。资料一：A、B、C 三种产品都需要通过一台关键设备加工，该设备是公司的关键限制资源，年加工能力 2500 小时。假设 A，B、C 三种产品当年生产当年销售，年初年末无存货。预计 2019 年 A，B，C 三种产品的市场正常销量及相关资料如图。资料二：为满足市场需求，公司 2019 年初拟新增一台与关键限制资源相同的设备，需要筹集 10 000万元。该设备新增年固定成本 600 万元，原固定成本总额 1 000 万元照常发生。现有两种筹资方案可供选择：方案 1：平价发行优先股筹资 6000 万元，面值 100 元，票面股息率 10%；按每份市价 1250 元发行债券筹资 4000 万元，期限 10 年，面值 1000 元，票面利率 9%。方案 2：平价发行优先股筹资 6000 万元，面值 100 元，票面股息率 10%；按每股市价 10 元发行普通股筹资 4000 万元。资料三：新增关键设备到位后，假设 A 产品尚有市场空间。如果其他条件不变，且剩余产能不能转移，公司拟花费 200 万元进行广告宣传，通过扩大 A 产品的销量实现剩余产能的充分利用。公司的企业所得税税率 25%。	1	根据资料一，为有效利用现有的一台关键设备，计算公司 B产品的生产安排产量。	600
19	data/figure/L3Q3_4/图片28.jpg	甲公司是一家制造业上市公司，生产 A、B、C 三种产品。最近几年，市场需求旺盛，公司正在考虑通过筹资扩大产能。2018 年，公司长期债务 10 000 万元，年利率 6%；流通在外普通股 1000 万股，每股面值 1 元；无优先股。资料一：A、B、C 三种产品都需要通过一台关键设备加工，该设备是公司的关键限制资源，年加工能力 2500 小时。假设 A，B、C 三种产品当年生产当年销售，年初年末无存货。预计 2019 年 A，B，C 三种产品的市场正常销量及相关资料如图。资料二：为满足市场需求，公司 2019 年初拟新增一台与关键限制资源相同的设备，需要筹集 10 000万元。该设备新增年固定成本 600 万元，原固定成本总额 1 000 万元照常发生。现有两种筹资方案可供选择：方案 1：平价发行优先股筹资 6000 万元，面值 100 元，票面股息率 10%；按每份市价 1250 元发行债券筹资 4000 万元，期限 10 年，面值 1000 元，票面利率 9%。方案 2：平价发行优先股筹资 6000 万元，面值 100 元，票面股息率 10%；按每股市价 10 元发行普通股筹资 4000 万元。资料三：新增关键设备到位后，假设 A 产品尚有市场空间。如果其他条件不变，且剩余产能不能转移，公司拟花费 200 万元进行广告宣传，通过扩大 A 产品的销量实现剩余产能的充分利用。公司的企业所得税税率 25%。	2	根据资料一，在该生产安排下，公司的经营杠杆是多少？	1.57
19	data/figure/L3Q3_4/图片28.jpg	甲公司是一家制造业上市公司，生产 A、B、C 三种产品。最近几年，市场需求旺盛，公司正在考虑通过筹资扩大产能。2018 年，公司长期债务 10 000 万元，年利率 6%；流通在外普通股 1000 万股，每股面值 1 元；无优先股。资料一：A、B、C 三种产品都需要通过一台关键设备加工，该设备是公司的关键限制资源，年加工能力 2500 小时。假设 A，B、C 三种产品当年生产当年销售，年初年末无存货。预计 2019 年 A，B，C 三种产品的市场正常销量及相关资料如图。资料二：为满足市场需求，公司 2019 年初拟新增一台与关键限制资源相同的设备，需要筹集 10 000万元。该设备新增年固定成本 600 万元，原固定成本总额 1 000 万元照常发生。现有两种筹资方案可供选择：方案 1：平价发行优先股筹资 6000 万元，面值 100 元，票面股息率 10%；按每份市价 1250 元发行债券筹资 4000 万元，期限 10 年，面值 1000 元，票面利率 9%。方案 2：平价发行优先股筹资 6000 万元，面值 100 元，票面股息率 10%；按每股市价 10 元发行普通股筹资 4000 万元。资料三：新增关键设备到位后，假设 A 产品尚有市场空间。如果其他条件不变，且剩余产能不能转移，公司拟花费 200 万元进行广告宣传，通过扩大 A 产品的销量实现剩余产能的充分利用。公司的企业所得税税率 25%。	3	根据资料三，计算并判断公司是否应利用该剩余产能。	是
20	data/figure/L3Q3_4/图片29.jpg	甲公司是一家尚未上市的高科技企业，固定资产较少，人工成本占销售成本的比重较大。为了进行以价值为基础的管理，公司拟采用相对价值评估模型对股权价值进行评估，有关资料如下：（1）甲公司 2013 年度实现净利润 3000 万元，年初股东权益总额为 20000 万元，年末股东权益总额为 21800 万元，2013 年股东权益的增加全部源于利润留存。公司没有优先股，2013 年年末普通股股数为 10000 万股，公司当年没有增发新股，也没有回购股票。预计甲公司 2014 年及以后年度的利润增长率为 9%，权益净利率保持不变。（2）甲公司选择了同行业的 3 家上市公司作为可比公司，并收集了如图所示的相关数据。	1	使用市盈率模型下的股价平均法计算甲公司的每股股权价值。	6.66
20	data/figure/L3Q3_4/图片29.jpg	甲公司是一家尚未上市的高科技企业，固定资产较少，人工成本占销售成本的比重较大。为了进行以价值为基础的管理，公司拟采用相对价值评估模型对股权价值进行评估，有关资料如下：（1）甲公司 2013 年度实现净利润 3000 万元，年初股东权益总额为 20000 万元，年末股东权益总额为 21800 万元，2013 年股东权益的增加全部源于利润留存。公司没有优先股，2013 年年末普通股股数为 10000 万股，公司当年没有增发新股，也没有回购股票。预计甲公司 2014 年及以后年度的利润增长率为 9%，权益净利率保持不变。（2）甲公司选择了同行业的 3 家上市公司作为可比公司，并收集了如图所示的相关数据。	2	使用市净率模型下的股价平均法计算甲公司的每股股权价值。	5.72
